target_initial_mineral_N_kg_ha,year,SNH4_mg_kg,SNO3_mg_kg,rewritten_layers
30,2019,0.9517766497461929,0.9517766497461929,5
30,2020,0.9517766497461929,0.9517766497461929,5
60,2019,1.9035532994923858,1.9035532994923858,5
60,2020,1.9035532994923858,1.9035532994923858,5
90,2019,2.8553299492385786,2.8553299492385786,5
90,2020,2.8553299492385786,2.8553299492385786,5
120,2019,3.8071065989847717,3.8071065989847717,5
120,2020,3.8071065989847717,3.8071065989847717,5
150,2019,4.758883248730965,4.758883248730965,5
150,2020,4.758883248730965,4.758883248730965,5
