target_initial_mineral_N_kg_ha,year,RMSE_kg_ha,RRMSE_pct,MAE_kg_ha,Bias_kg_ha,mean_HWAM,mean_SRADA,mean_NICM
30,2019,1305.7171401187932,11.738102169850933,1136.25,-339.75,10784.0,19.9,171.0
30,2020,3692.462118966151,33.56783744514683,3540.0,3540.0,14540.0,19.8,171.0
60,2019,2900.8392320154526,26.07788948884551,2609.75,-2609.75,8514.0,19.9,171.0
60,2020,3030.5464028785304,27.550421844350275,2839.0,-2839.0,8161.0,19.8,171.0
90,2019,1305.7171401187932,11.738102169850933,1136.25,-339.75,10784.0,19.9,171.0
90,2020,3692.2292385495243,33.56572035045022,3539.75,3539.75,14539.75,19.8,171.0
120,2019,1305.7171401187932,11.738102169850933,1136.25,-339.75,10784.0,19.9,171.0
120,2020,3439.8705280867766,31.271550255334333,3260.75,3260.75,14260.75,19.8,171.0
150,2019,1305.7171401187932,11.738102169850933,1136.25,-339.75,10784.0,19.9,171.0
150,2020,3692.2292385495243,33.56572035045022,3539.75,3539.75,14539.75,19.8,171.0
