scenario,target_initial_mineral_N_kg_ha,SNH4_mg_kg,SNO3_mg_kg,year,treatment,obs,HWAM,error,ARE_pct,SRADA,NICM,NUCM,NMINC
MINN30,30,0.9517766497461929,0.9517766497461929,2019,W1,9250,10784.0,1534.0,16.583783783783783,19.9,171.0,271,56
MINN30,30,0.9517766497461929,0.9517766497461929,2019,W2,10725,10784.0,59.0,0.5501165501165501,19.9,171.0,271,56
MINN30,30,0.9517766497461929,0.9517766497461929,2019,W3,12490,10784.0,-1706.0,13.65892714171337,19.9,171.0,271,57
MINN30,30,0.9517766497461929,0.9517766497461929,2019,W4,12030,10784.0,-1246.0,10.357439733998337,19.9,171.0,271,57
MINN30,30,0.9517766497461929,0.9517766497461929,2020,W1,9275,14542.0,5267.0,56.78706199460917,19.8,171.0,344,54
MINN30,30,0.9517766497461929,0.9517766497461929,2020,W2,11100,14540.0,3440.0,30.99099099099099,19.8,171.0,344,55
MINN30,30,0.9517766497461929,0.9517766497461929,2020,W3,12030,14539.0,2509.0,20.85619285120532,19.8,171.0,344,56
MINN30,30,0.9517766497461929,0.9517766497461929,2020,W4,11595,14539.0,2944.0,25.390254420008624,19.8,171.0,344,56
MINN60,60,1.9035532994923858,1.9035532994923858,2019,W1,9250,8518.0,-732.0,7.9135135135135135,19.9,171.0,155,55
MINN60,60,1.9035532994923858,1.9035532994923858,2019,W2,10725,8527.0,-2198.0,20.494172494172496,19.9,171.0,155,56
MINN60,60,1.9035532994923858,1.9035532994923858,2019,W3,12490,8512.0,-3978.0,31.849479583666934,19.9,171.0,154,56
MINN60,60,1.9035532994923858,1.9035532994923858,2019,W4,12030,8499.0,-3531.0,29.351620947630924,19.9,171.0,153,57
MINN60,60,1.9035532994923858,1.9035532994923858,2020,W1,9275,8181.0,-1094.0,11.795148247978435,19.8,171.0,146,54
MINN60,60,1.9035532994923858,1.9035532994923858,2020,W2,11100,8167.0,-2933.0,26.423423423423426,19.8,171.0,146,55
MINN60,60,1.9035532994923858,1.9035532994923858,2020,W3,12030,8165.0,-3865.0,32.128013300083126,19.8,171.0,145,55
MINN60,60,1.9035532994923858,1.9035532994923858,2020,W4,11595,8131.0,-3464.0,29.8749460974558,19.8,171.0,145,56
MINN90,90,2.8553299492385786,2.8553299492385786,2019,W1,9250,10784.0,1534.0,16.583783783783783,19.9,171.0,271,56
MINN90,90,2.8553299492385786,2.8553299492385786,2019,W2,10725,10784.0,59.0,0.5501165501165501,19.9,171.0,271,56
MINN90,90,2.8553299492385786,2.8553299492385786,2019,W3,12490,10784.0,-1706.0,13.65892714171337,19.9,171.0,271,57
MINN90,90,2.8553299492385786,2.8553299492385786,2019,W4,12030,10784.0,-1246.0,10.357439733998337,19.9,171.0,271,57
MINN90,90,2.8553299492385786,2.8553299492385786,2020,W1,9275,14542.0,5267.0,56.78706199460917,19.8,171.0,344,54
MINN90,90,2.8553299492385786,2.8553299492385786,2020,W2,11100,14539.0,3439.0,30.98198198198198,19.8,171.0,344,55
MINN90,90,2.8553299492385786,2.8553299492385786,2020,W3,12030,14539.0,2509.0,20.85619285120532,19.8,171.0,344,56
MINN90,90,2.8553299492385786,2.8553299492385786,2020,W4,11595,14539.0,2944.0,25.390254420008624,19.8,171.0,344,56
MINN120,120,3.8071065989847717,3.8071065989847717,2019,W1,9250,10784.0,1534.0,16.583783783783783,19.9,171.0,271,56
MINN120,120,3.8071065989847717,3.8071065989847717,2019,W2,10725,10784.0,59.0,0.5501165501165501,19.9,171.0,270,56
MINN120,120,3.8071065989847717,3.8071065989847717,2019,W3,12490,10784.0,-1706.0,13.65892714171337,19.9,171.0,264,57
MINN120,120,3.8071065989847717,3.8071065989847717,2019,W4,12030,10784.0,-1246.0,10.357439733998337,19.9,171.0,259,57
MINN120,120,3.8071065989847717,3.8071065989847717,2020,W1,9275,14331.0,5056.0,54.512129380053906,19.8,171.0,315,54
MINN120,120,3.8071065989847717,3.8071065989847717,2020,W2,11100,14292.0,3192.0,28.756756756756758,19.8,171.0,309,55
MINN120,120,3.8071065989847717,3.8071065989847717,2020,W3,12030,14224.0,2194.0,18.237738985868663,19.8,171.0,305,56
MINN120,120,3.8071065989847717,3.8071065989847717,2020,W4,11595,14196.0,2601.0,22.43208279430789,19.8,171.0,302,56
MINN150,150,4.758883248730965,4.758883248730965,2019,W1,9250,10784.0,1534.0,16.583783783783783,19.9,171.0,271,56
MINN150,150,4.758883248730965,4.758883248730965,2019,W2,10725,10784.0,59.0,0.5501165501165501,19.9,171.0,271,56
MINN150,150,4.758883248730965,4.758883248730965,2019,W3,12490,10784.0,-1706.0,13.65892714171337,19.9,171.0,271,57
MINN150,150,4.758883248730965,4.758883248730965,2019,W4,12030,10784.0,-1246.0,10.357439733998337,19.9,171.0,271,57
MINN150,150,4.758883248730965,4.758883248730965,2020,W1,9275,14542.0,5267.0,56.78706199460917,19.8,171.0,344,54
MINN150,150,4.758883248730965,4.758883248730965,2020,W2,11100,14539.0,3439.0,30.98198198198198,19.8,171.0,344,55
MINN150,150,4.758883248730965,4.758883248730965,2020,W3,12030,14539.0,2509.0,20.85619285120532,19.8,171.0,344,56
MINN150,150,4.758883248730965,4.758883248730965,2020,W4,11595,14539.0,2944.0,25.390254420008624,19.8,171.0,344,56
