scenario,N_kg_ha,mode,treatment,observed,HWAM,error,ARE_pct
UNLIMITED,unlimited,unlimited,W1,9275,17591.0,8316.0,89.66037735849056
UNLIMITED,unlimited,unlimited,W2,11100,17607.0,6507.0,58.62162162162162
UNLIMITED,unlimited,unlimited,W3,12030,17607.0,5577.0,46.35910224438903
UNLIMITED,unlimited,unlimited,W4,11595,17607.0,6012.0,51.84993531694696
N64_SPLIT,64.4,split,W1,9275,4498.0,-4777.0,51.50404312668464
N64_SPLIT,64.4,split,W2,11100,4668.0,-6432.0,57.945945945945944
N64_SPLIT,64.4,split,W3,12030,4794.0,-7236.0,60.1496259351621
N64_SPLIT,64.4,split,W4,11595,4960.0,-6635.0,57.22294092281156
N129_SPLIT,128.8,split,W1,9275,4498.0,-4777.0,51.50404312668464
N129_SPLIT,128.8,split,W2,11100,4668.0,-6432.0,57.945945945945944
N129_SPLIT,128.8,split,W3,12030,4794.0,-7236.0,60.1496259351621
N129_SPLIT,128.8,split,W4,11595,4960.0,-6635.0,57.22294092281156
N193_SPLIT,193.2,split,W1,9275,4498.0,-4777.0,51.50404312668464
N193_SPLIT,193.2,split,W2,11100,4668.0,-6432.0,57.945945945945944
N193_SPLIT,193.2,split,W3,12030,4794.0,-7236.0,60.1496259351621
N193_SPLIT,193.2,split,W4,11595,4960.0,-6635.0,57.22294092281156
N129_BASAL,128.8,basal,W1,9275,4498.0,-4777.0,51.50404312668464
N129_BASAL,128.8,basal,W2,11100,4668.0,-6432.0,57.945945945945944
N129_BASAL,128.8,basal,W3,12030,4794.0,-7236.0,60.1496259351621
N129_BASAL,128.8,basal,W4,11595,4960.0,-6635.0,57.22294092281156
