scenario,N_kg_ha,mode,treatment,observed,HWAM,error,ARE_pct
UNLIMITED,unlimited,unlimited,W1,9275,17591.0,8316.0,89.66037735849056
UNLIMITED,unlimited,unlimited,W2,11100,17607.0,6507.0,58.62162162162162
UNLIMITED,unlimited,unlimited,W3,12030,17607.0,5577.0,46.35910224438903
UNLIMITED,unlimited,unlimited,W4,11595,17607.0,6012.0,51.84993531694696
N64_SPLIT,64.4,split,W1,9275,7043.0,-2232.0,24.064690026954178
N64_SPLIT,64.4,split,W2,11100,7252.0,-3848.0,34.66666666666667
N64_SPLIT,64.4,split,W3,12030,7355.0,-4675.0,38.86118038237739
N64_SPLIT,64.4,split,W4,11595,7513.0,-4082.0,35.20482966796033
N129_SPLIT,128.8,split,W1,9275,8078.0,-1197.0,12.90566037735849
N129_SPLIT,128.8,split,W2,11100,8339.0,-2761.0,24.873873873873876
N129_SPLIT,128.8,split,W3,12030,8515.0,-3515.0,29.218620116375725
N129_SPLIT,128.8,split,W4,11595,8667.0,-2928.0,25.252263906856403
N193_SPLIT,193.2,split,W1,9275,9226.0,-49.0,0.5283018867924528
N193_SPLIT,193.2,split,W2,11100,9364.0,-1736.0,15.639639639639642
N193_SPLIT,193.2,split,W3,12030,9405.0,-2625.0,21.820448877805486
N193_SPLIT,193.2,split,W4,11595,9612.0,-1983.0,17.102199223803364
N129_BASAL,128.8,basal,W1,9275,8295.0,-980.0,10.566037735849058
N129_BASAL,128.8,basal,W2,11100,8494.0,-2606.0,23.477477477477475
N129_BASAL,128.8,basal,W3,12030,8513.0,-3517.0,29.235245220282625
N129_BASAL,128.8,basal,W4,11595,8645.0,-2950.0,25.442000862440707
