scenario,OC,SRAD_mode,nominal_N,year,RMSE_kg_ha,RRMSE_pct,MAE_kg_ha,Bias_kg_ha,mean_HWAM,mean_SRADA,mean_NICM
LOWOM_BASESRAD_N129,LOWOM,BASE,128.8,2019,5917.691906478403,53.19871362156111,5780.0,-5780.0,5343.75,23.3,117.0
LOWOM_BASESRAD_N129,LOWOM,BASE,128.8,2020,6526.308317111597,59.330075610105425,6430.75,-6430.75,4569.25,24.2,117.0
LOWOM_BASESRAD_N193,LOWOM,BASE,193.2,2019,4439.317458799269,39.90846125451641,4241.5,-4241.5,6882.25,23.3,171.0
LOWOM_BASESRAD_N193,LOWOM,BASE,193.2,2020,5070.075492534604,46.091595386678215,4945.5,-4945.5,6054.5,24.2,171.0
LOWOM_SRAD19P8_N129,LOWOM,19.8,128.8,2019,5476.146866182462,49.22932344022889,5321.0,-5321.0,5802.75,19.9,117.0
LOWOM_SRAD19P8_N129,LOWOM,19.8,128.8,2020,5566.109098822983,50.600991807481655,5465.5,-5465.5,5534.5,19.8,117.0
LOWOM_SRAD19P8_N193,LOWOM,19.8,193.2,2019,4116.859452300989,37.00963660906609,3910.75,-3910.75,7213.0,19.9,171.0
LOWOM_SRAD19P8_N193,LOWOM,19.8,193.2,2020,4625.975032358043,42.05431847598221,4492.5,-4492.5,6507.5,19.8,171.0
HIGHOM_BASESRAD_N129,HIGHOM,BASE,128.8,2019,4068.048580093409,36.57083789273769,3877.25,-3877.25,7246.5,23.3,117.0
HIGHOM_BASESRAD_N129,HIGHOM,BASE,128.8,2020,4264.431234056893,38.767556673244485,4147.75,-4147.75,6852.25,24.2,117.0
HIGHOM_BASESRAD_N193,HIGHOM,BASE,193.2,2019,3015.9954824236725,27.113118169894793,2738.75,-2738.75,8385.0,23.3,171.0
HIGHOM_BASESRAD_N193,HIGHOM,BASE,193.2,2020,3315.5374375808215,30.14124943255292,3142.5,-3142.5,7857.5,24.2,171.0
HIGHOM_SRAD19P8_N129,HIGHOM,19.8,128.8,2019,3622.1928441208097,32.56269553092086,3398.5,-3398.5,7725.25,19.9,117.0
HIGHOM_SRAD19P8_N129,HIGHOM,19.8,128.8,2020,3633.370542622924,33.030641296572036,3486.0,-3486.0,7514.0,19.8,117.0
HIGHOM_SRAD19P8_N193,HIGHOM,19.8,193.2,2019,2916.1201964253805,26.215261907408745,2622.5,-2622.5,8501.25,19.9,171.0
HIGHOM_SRAD19P8_N193,HIGHOM,19.8,193.2,2020,3061.1319393322465,27.828472175747695,2874.75,-2874.75,8125.25,19.8,171.0
