scenario,OC,SRAD_mode,nominal_N,year,treatment,obs,HWAM,error,ARE_pct,SRADA,PRCP,NICM,NUCM,NMINC,model_read_top_OC_pct
LOWOM_BASESRAD_N129,LOWOM,BASE,128.8,2019,W1,9250,5377.0,-3873.0,41.87027027027027,23.3,83.3,117.0,103,6,0.09
LOWOM_BASESRAD_N129,LOWOM,BASE,128.8,2019,W2,10725,5313.0,-5412.0,50.46153846153846,23.3,83.3,117.0,102,6,0.09
LOWOM_BASESRAD_N129,LOWOM,BASE,128.8,2019,W3,12490,5369.0,-7121.0,57.013610888710964,23.3,83.3,117.0,102,6,0.09
LOWOM_BASESRAD_N129,LOWOM,BASE,128.8,2019,W4,12030,5316.0,-6714.0,55.81047381546135,23.3,83.3,117.0,101,6,0.09
LOWOM_BASESRAD_N129,LOWOM,BASE,128.8,2020,W1,9275,4675.0,-4600.0,49.59568733153639,24.2,103.1,117.0,94,5,0.09
LOWOM_BASESRAD_N129,LOWOM,BASE,128.8,2020,W2,11100,4576.0,-6524.0,58.77477477477478,24.2,103.1,117.0,93,5,0.09
LOWOM_BASESRAD_N129,LOWOM,BASE,128.8,2020,W3,12030,4527.0,-7503.0,62.36907730673317,24.2,103.1,117.0,92,6,0.09
LOWOM_BASESRAD_N129,LOWOM,BASE,128.8,2020,W4,11595,4499.0,-7096.0,61.19879258300992,24.2,103.1,117.0,92,6,0.09
LOWOM_BASESRAD_N193,LOWOM,BASE,193.2,2019,W1,9250,6958.0,-2292.0,24.77837837837838,23.3,83.3,171.0,130,6,0.09
LOWOM_BASESRAD_N193,LOWOM,BASE,193.2,2019,W2,10725,6902.0,-3823.0,35.645687645687644,23.3,83.3,171.0,129,6,0.09
LOWOM_BASESRAD_N193,LOWOM,BASE,193.2,2019,W3,12490,6853.0,-5637.0,45.13210568454763,23.3,83.3,171.0,127,6,0.09
LOWOM_BASESRAD_N193,LOWOM,BASE,193.2,2019,W4,12030,6816.0,-5214.0,43.34164588528678,23.3,83.3,171.0,127,7,0.09
LOWOM_BASESRAD_N193,LOWOM,BASE,193.2,2020,W1,9275,6161.0,-3114.0,33.57412398921833,24.2,103.1,171.0,114,5,0.09
LOWOM_BASESRAD_N193,LOWOM,BASE,193.2,2020,W2,11100,6057.0,-5043.0,45.432432432432435,24.2,103.1,171.0,113,6,0.09
LOWOM_BASESRAD_N193,LOWOM,BASE,193.2,2020,W3,12030,5969.0,-6061.0,50.38237738985869,24.2,103.1,171.0,111,6,0.09
LOWOM_BASESRAD_N193,LOWOM,BASE,193.2,2020,W4,11595,6031.0,-5564.0,47.986200948684775,24.2,103.1,171.0,110,6,0.09
LOWOM_SRAD19P8_N129,LOWOM,19.8,128.8,2019,W1,9250,5852.0,-3398.0,36.73513513513513,19.9,81.7,117.0,104,6,0.09
LOWOM_SRAD19P8_N129,LOWOM,19.8,128.8,2019,W2,10725,5822.0,-4903.0,45.71561771561772,19.9,81.7,117.0,102,6,0.09
LOWOM_SRAD19P8_N129,LOWOM,19.8,128.8,2019,W3,12490,5789.0,-6701.0,53.65092073658927,19.9,81.7,117.0,102,6,0.09
LOWOM_SRAD19P8_N129,LOWOM,19.8,128.8,2019,W4,12030,5748.0,-6282.0,52.21945137157107,19.9,81.7,117.0,101,6,0.09
LOWOM_SRAD19P8_N129,LOWOM,19.8,128.8,2020,W1,9275,5541.0,-3734.0,40.25876010781671,19.8,105.3,117.0,95,6,0.09
LOWOM_SRAD19P8_N129,LOWOM,19.8,128.8,2020,W2,11100,5541.0,-5559.0,50.08108108108108,19.8,105.3,117.0,94,6,0.09
LOWOM_SRAD19P8_N129,LOWOM,19.8,128.8,2020,W3,12030,5532.0,-6498.0,54.014962593516216,19.8,105.3,117.0,94,6,0.09
LOWOM_SRAD19P8_N129,LOWOM,19.8,128.8,2020,W4,11595,5524.0,-6071.0,52.35877533419577,19.8,105.3,117.0,93,6,0.09
LOWOM_SRAD19P8_N193,LOWOM,19.8,193.2,2019,W1,9250,7251.0,-1999.0,21.61081081081081,19.9,81.7,171.0,127,6,0.09
LOWOM_SRAD19P8_N193,LOWOM,19.8,193.2,2019,W2,10725,7226.0,-3499.0,32.624708624708624,19.9,81.7,171.0,126,7,0.09
