scenario,N_nominal_kg_ha,mode,treatment,observed,HWAM,error,ARE_pct
HIGHOM_N129_SPLIT,128.8,split,W1,9275,8078.0,-1197.0,12.90566037735849
HIGHOM_N129_SPLIT,128.8,split,W2,11100,8339.0,-2761.0,24.873873873873876
HIGHOM_N129_SPLIT,128.8,split,W3,12030,8515.0,-3515.0,29.218620116375725
HIGHOM_N129_SPLIT,128.8,split,W4,11595,8667.0,-2928.0,25.252263906856403
HIGHOM_N193_SPLIT,193.2,split,W1,9275,9226.0,-49.0,0.5283018867924528
HIGHOM_N193_SPLIT,193.2,split,W2,11100,9364.0,-1736.0,15.639639639639642
HIGHOM_N193_SPLIT,193.2,split,W3,12030,9405.0,-2625.0,21.820448877805486
HIGHOM_N193_SPLIT,193.2,split,W4,11595,9612.0,-1983.0,17.102199223803364
HIGHOM_N129_BASAL,128.8,basal,W1,9275,8295.0,-980.0,10.566037735849058
HIGHOM_N129_BASAL,128.8,basal,W2,11100,8494.0,-2606.0,23.477477477477475
HIGHOM_N129_BASAL,128.8,basal,W3,12030,8513.0,-3517.0,29.235245220282625
HIGHOM_N129_BASAL,128.8,basal,W4,11595,8645.0,-2950.0,25.442000862440707
