scenario,year,RMSE_kg_ha,RRMSE_pct,MAE_kg_ha,Bias_kg_ha,mean_HWAM,mean_SRADA,mean_PRCP
BASE,2019,2069.2003890392057,18.601644131153662,1644.75,1644.75,12768.5,23.3,83.3
BASE,2020,6684.758372596574,60.770530659968856,6603.0,6603.0,17603.0,24.2,103.1
RAIN_MATCH,2019,2069.2003890392057,18.601644131153662,1644.75,1644.75,12768.5,23.3,83.3
RAIN_MATCH,2020,6684.758372596574,60.770530659968856,6603.0,6603.0,17603.0,24.2,103.1
SRAD_19P8,2019,2069.2003890392057,18.601644131153662,1644.75,1644.75,12768.5,23.3,83.3
SRAD_19P8,2020,6684.758372596574,60.770530659968856,6603.0,6603.0,17603.0,24.2,103.1
WEATHER_BOTH,2019,2069.2003890392057,18.601644131153662,1644.75,1644.75,12768.5,23.3,83.3
WEATHER_BOTH,2020,6684.758372596574,60.770530659968856,6603.0,6603.0,17603.0,24.2,103.1
N_LOW_BOUND,2019,6364.0076602719455,57.21099143968487,6258.5,-6258.5,4865.25,23.3,83.3
N_LOW_BOUND,2020,6335.87551171896,57.59886828835419,6270.0,-6270.0,4730.0,24.2,103.1
