scenario,year,treatment,obs,HWAM,error,ARE_pct,SRADA,PRCP,ETCM,SWXM
BASE,2019,W1,9250,12758.0,3508.0,37.924324324324324,23.3,83.3,526,67
BASE,2019,W2,10725,12772.0,2047.0,19.086247086247084,23.3,83.3,526,72
BASE,2019,W3,12490,12772.0,282.0,2.257806244995997,23.3,83.3,526,75
BASE,2019,W4,12030,12772.0,742.0,6.1679135494596835,23.3,83.3,526,79
BASE,2020,W1,9275,17591.0,8316.0,89.66037735849056,24.2,103.1,510,72
BASE,2020,W2,11100,17607.0,6507.0,58.62162162162162,24.2,103.1,511,75
BASE,2020,W3,12030,17607.0,5577.0,46.35910224438903,24.2,103.1,511,79
BASE,2020,W4,11595,17607.0,6012.0,51.84993531694696,24.2,103.1,511,82
RAIN_MATCH,2019,W1,9250,12758.0,3508.0,37.924324324324324,23.3,83.3,526,67
RAIN_MATCH,2019,W2,10725,12772.0,2047.0,19.086247086247084,23.3,83.3,526,72
RAIN_MATCH,2019,W3,12490,12772.0,282.0,2.257806244995997,23.3,83.3,526,75
RAIN_MATCH,2019,W4,12030,12772.0,742.0,6.1679135494596835,23.3,83.3,526,79
RAIN_MATCH,2020,W1,9275,17591.0,8316.0,89.66037735849056,24.2,103.1,510,72
RAIN_MATCH,2020,W2,11100,17607.0,6507.0,58.62162162162162,24.2,103.1,511,75
RAIN_MATCH,2020,W3,12030,17607.0,5577.0,46.35910224438903,24.2,103.1,511,79
RAIN_MATCH,2020,W4,11595,17607.0,6012.0,51.84993531694696,24.2,103.1,511,82
SRAD_19P8,2019,W1,9250,12758.0,3508.0,37.924324324324324,23.3,83.3,526,67
SRAD_19P8,2019,W2,10725,12772.0,2047.0,19.086247086247084,23.3,83.3,526,72
SRAD_19P8,2019,W3,12490,12772.0,282.0,2.257806244995997,23.3,83.3,526,75
SRAD_19P8,2019,W4,12030,12772.0,742.0,6.1679135494596835,23.3,83.3,526,79
SRAD_19P8,2020,W1,9275,17591.0,8316.0,89.66037735849056,24.2,103.1,510,72
SRAD_19P8,2020,W2,11100,17607.0,6507.0,58.62162162162162,24.2,103.1,511,75
SRAD_19P8,2020,W3,12030,17607.0,5577.0,46.35910224438903,24.2,103.1,511,79
SRAD_19P8,2020,W4,11595,17607.0,6012.0,51.84993531694696,24.2,103.1,511,82
WEATHER_BOTH,2019,W1,9250,12758.0,3508.0,37.924324324324324,23.3,83.3,526,67
WEATHER_BOTH,2019,W2,10725,12772.0,2047.0,19.086247086247084,23.3,83.3,526,72
WEATHER_BOTH,2019,W3,12490,12772.0,282.0,2.257806244995997,23.3,83.3,526,75
WEATHER_BOTH,2019,W4,12030,12772.0,742.0,6.1679135494596835,23.3,83.3,526,79
WEATHER_BOTH,2020,W1,9275,17591.0,8316.0,89.66037735849056,24.2,103.1,510,72
WEATHER_BOTH,2020,W2,11100,17607.0,6507.0,58.62162162162162,24.2,103.1,511,75
WEATHER_BOTH,2020,W3,12030,17607.0,5577.0,46.35910224438903,24.2,103.1,511,79
WEATHER_BOTH,2020,W4,11595,17607.0,6012.0,51.84993531694696,24.2,103.1,511,82
N_LOW_BOUND,2019,W1,9250,4702.0,-4548.0,49.167567567567566,23.3,83.3,469,99
N_LOW_BOUND,2019,W2,10725,4818.0,-5907.0,55.07692307692308,23.3,83.3,470,100
N_LOW_BOUND,2019,W3,12490,4925.0,-7565.0,60.568454763811054,23.3,83.3,471,100
N_LOW_BOUND,2019,W4,12030,5016.0,-7014.0,58.30423940149626,23.3,83.3,471,100
N_LOW_BOUND,2020,W1,9275,4498.0,-4777.0,51.50404312668464,24.2,103.1,466,108
N_LOW_BOUND,2020,W2,11100,4668.0,-6432.0,57.945945945945944,24.2,103.1,468,108
N_LOW_BOUND,2020,W3,12030,4794.0,-7236.0,60.1496259351621,24.2,103.1,469,109
N_LOW_BOUND,2020,W4,11595,4960.0,-6635.0,57.22294092281156,24.2,103.1,469,109
