scenario,year,treatment,nominal_N,n_fert_events,N_per_event
BASE_N129,2019,W1,128.8,10,12.88
BASE_N129,2019,W2,128.8,10,12.88
BASE_N129,2019,W3,128.8,10,12.88
BASE_N129,2019,W4,128.8,10,12.88
BASE_N129,2020,W1,128.8,10,12.88
BASE_N129,2020,W2,128.8,10,12.88
BASE_N129,2020,W3,128.8,10,12.88
BASE_N129,2020,W4,128.8,10,12.88
BASE_N193,2019,W1,193.2,10,19.32
BASE_N193,2019,W2,193.2,10,19.32
BASE_N193,2019,W3,193.2,10,19.32
BASE_N193,2019,W4,193.2,10,19.32
BASE_N193,2020,W1,193.2,10,19.32
BASE_N193,2020,W2,193.2,10,19.32
BASE_N193,2020,W3,193.2,10,19.32
BASE_N193,2020,W4,193.2,10,19.32
SRAD19P8_N129,2019,W1,128.8,10,12.88
SRAD19P8_N129,2019,W2,128.8,10,12.88
SRAD19P8_N129,2019,W3,128.8,10,12.88
SRAD19P8_N129,2019,W4,128.8,10,12.88
SRAD19P8_N129,2020,W1,128.8,10,12.88
SRAD19P8_N129,2020,W2,128.8,10,12.88
SRAD19P8_N129,2020,W3,128.8,10,12.88
SRAD19P8_N129,2020,W4,128.8,10,12.88
SRAD19P8_N193,2019,W1,193.2,10,19.32
SRAD19P8_N193,2019,W2,193.2,10,19.32
SRAD19P8_N193,2019,W3,193.2,10,19.32
SRAD19P8_N193,2019,W4,193.2,10,19.32
SRAD19P8_N193,2020,W1,193.2,10,19.32
SRAD19P8_N193,2020,W2,193.2,10,19.32
SRAD19P8_N193,2020,W3,193.2,10,19.32
SRAD19P8_N193,2020,W4,193.2,10,19.32
