scenario,year,RMSE_kg_ha,RRMSE_pct,MAE_kg_ha,Bias_kg_ha,mean_HWAM,mean_SRADA,mean_PRCP,mean_NICM
BASE_UNLIMITED,2019,2069.2003890392057,18.601644131153662,1644.75,1644.75,12768.5,23.3,83.3,
BASE_UNLIMITED,2020,6684.758372596574,60.770530659968856,6603.0,6603.0,17603.0,24.2,103.1,
SRAD19P8_UNLIMITED,2019,1305.7171401187932,11.738102169850933,1136.25,-339.75,10784.0,19.9,81.7,
SRAD19P8_UNLIMITED,2020,3685.004613294263,33.50004193903876,3532.5,3532.5,14532.5,19.8,105.3,
BASE_N129,2019,2684.8704810474565,24.13637919808928,2401.5,-2401.5,8722.25,23.3,83.3,117.0
BASE_N129,2020,2843.847657663821,25.853160524216555,2708.5,-2708.5,8291.5,24.2,103.1,117.0
BASE_N193,2019,1777.174864778365,15.97640062729174,1543.0,-1325.0,9798.75,23.3,83.3,171.0
BASE_N193,2020,2024.7729502341738,18.407026820310673,1809.0,-1809.0,9191.0,24.2,103.1,171.0
SRAD19P8_N129,2019,2405.4433583021655,21.624392478275453,2047.25,-2047.25,9076.5,19.9,81.7,117.0
SRAD19P8_N129,2020,2088.682718844583,18.988024716768937,1804.0,-1804.0,9196.0,19.8,105.3,117.0
SRAD19P8_N193,2019,2073.7636075502915,18.642666434882944,1760.5,-1645.0,9478.75,19.9,81.7,171.0
SRAD19P8_N193,2020,1541.9187721796502,14.017443383451367,1423.0,-1135.0,9865.0,19.8,105.3,171.0
