scenario,use_srad19p8,nominal_N,year,treatment,obs,HWAM,error,ARE_pct,SRADA,PRCP,NI#M,NICM,NUCM
BASE_UNLIMITED,False,,2019,W1,9250,12758.0,3508.0,37.924324324324324,23.3,83.3,-99,-99,0
BASE_UNLIMITED,False,,2019,W2,10725,12772.0,2047.0,19.086247086247084,23.3,83.3,-99,-99,0
BASE_UNLIMITED,False,,2019,W3,12490,12772.0,282.0,2.257806244995997,23.3,83.3,-99,-99,0
BASE_UNLIMITED,False,,2019,W4,12030,12772.0,742.0,6.1679135494596835,23.3,83.3,-99,-99,0
BASE_UNLIMITED,False,,2020,W1,9275,17591.0,8316.0,89.66037735849056,24.2,103.1,-99,-99,0
BASE_UNLIMITED,False,,2020,W2,11100,17607.0,6507.0,58.62162162162162,24.2,103.1,-99,-99,0
BASE_UNLIMITED,False,,2020,W3,12030,17607.0,5577.0,46.35910224438903,24.2,103.1,-99,-99,0
BASE_UNLIMITED,False,,2020,W4,11595,17607.0,6012.0,51.84993531694696,24.2,103.1,-99,-99,0
SRAD19P8_UNLIMITED,True,,2019,W1,9250,10784.0,1534.0,16.583783783783783,19.9,81.7,-99,-99,0
SRAD19P8_UNLIMITED,True,,2019,W2,10725,10784.0,59.0,0.5501165501165501,19.9,81.7,-99,-99,0
SRAD19P8_UNLIMITED,True,,2019,W3,12490,10784.0,-1706.0,13.65892714171337,19.9,81.7,-99,-99,0
SRAD19P8_UNLIMITED,True,,2019,W4,12030,10784.0,-1246.0,10.357439733998337,19.9,81.7,-99,-99,0
SRAD19P8_UNLIMITED,True,,2020,W1,9275,14533.0,5258.0,56.690026954177895,19.8,105.3,-99,-99,0
SRAD19P8_UNLIMITED,True,,2020,W2,11100,14532.0,3432.0,30.91891891891892,19.8,105.3,-99,-99,0
SRAD19P8_UNLIMITED,True,,2020,W3,12030,14532.0,2502.0,20.798004987531172,19.8,105.3,-99,-99,0
SRAD19P8_UNLIMITED,True,,2020,W4,11595,14533.0,2938.0,25.33850797757654,19.8,105.3,-99,-99,0
BASE_N129,False,128.8,2019,W1,9250,8632.0,-618.0,6.68108108108108,23.3,83.3,9,117,166
BASE_N129,False,128.8,2019,W2,10725,8690.0,-2035.0,18.974358974358974,23.3,83.3,9,117,167
BASE_N129,False,128.8,2019,W3,12490,8750.0,-3740.0,29.943955164131303,23.3,83.3,9,117,167
BASE_N129,False,128.8,2019,W4,12030,8817.0,-3213.0,26.708229426433917,23.3,83.3,9,117,168
BASE_N129,False,128.8,2020,W1,9275,7982.0,-1293.0,13.940700808625337,24.2,103.1,9,117,149
BASE_N129,False,128.8,2020,W2,11100,8188.0,-2912.0,26.234234234234233,24.2,103.1,9,117,150
BASE_N129,False,128.8,2020,W3,12030,8379.0,-3651.0,30.34912718204489,24.2,103.1,9,117,151
BASE_N129,False,128.8,2020,W4,11595,8617.0,-2978.0,25.683484260457096,24.2,103.1,9,117,152
BASE_N193,False,193.2,2019,W1,9250,9686.0,436.0,4.713513513513513,23.3,83.3,9,171,182
BASE_N193,False,193.2,2019,W2,10725,9761.0,-964.0,8.98834498834499,23.3,83.3,9,171,182
BASE_N193,False,193.2,2019,W3,12490,9851.0,-2639.0,21.128903122498,23.3,83.3,9,171,183
BASE_N193,False,193.2,2019,W4,12030,9897.0,-2133.0,17.730673316708227,23.3,83.3,9,171,183
BASE_N193,False,193.2,2020,W1,9275,8968.0,-307.0,3.3099730458221024,24.2,103.1,9,171,162
BASE_N193,False,193.2,2020,W2,11100,9113.0,-1987.0,17.9009009009009,24.2,103.1,9,171,163
BASE_N193,False,193.2,2020,W3,12030,9290.0,-2740.0,22.776392352452202,24.2,103.1,9,171,164
BASE_N193,False,193.2,2020,W4,11595,9393.0,-2202.0,18.990944372574386,24.2,103.1,9,171,164
SRAD19P8_N129,True,128.8,2019,W1,9250,9079.0,-171.0,1.8486486486486486,19.9,81.7,9,117,171
SRAD19P8_N129,True,128.8,2019,W2,10725,9079.0,-1646.0,15.347319347319347,19.9,81.7,9,117,171
SRAD19P8_N129,True,128.8,2019,W3,12490,9075.0,-3415.0,27.34187349879904,19.9,81.7,9,117,172
SRAD19P8_N129,True,128.8,2019,W4,12030,9073.0,-2957.0,24.58021612635079,19.9,81.7,9,117,172
SRAD19P8_N129,True,128.8,2020,W1,9275,9209.0,-66.0,0.7115902964959568,19.8,105.3,9,117,167
SRAD19P8_N129,True,128.8,2020,W2,11100,9161.0,-1939.0,17.46846846846847,19.8,105.3,9,117,168
SRAD19P8_N129,True,128.8,2020,W3,12030,9191.0,-2839.0,23.599334995843723,19.8,105.3,9,117,168
SRAD19P8_N129,True,128.8,2020,W4,11595,9223.0,-2372.0,20.45709357481673,19.8,105.3,9,117,168
SRAD19P8_N193,True,193.2,2019,W1,9250,9481.0,231.0,2.497297297297297,19.9,81.7,9,171,188
SRAD19P8_N193,True,193.2,2019,W2,10725,9481.0,-1244.0,11.599067599067599,19.9,81.7,9,171,188
SRAD19P8_N193,True,193.2,2019,W3,12490,9477.0,-3013.0,24.123298638911127,19.9,81.7,9,171,188
SRAD19P8_N193,True,193.2,2019,W4,12030,9476.0,-2554.0,21.23025768911056,19.9,81.7,9,171,188
SRAD19P8_N193,True,193.2,2020,W1,9275,9851.0,576.0,6.210242587601078,19.8,105.3,9,171,183
SRAD19P8_N193,True,193.2,2020,W2,11100,9881.0,-1219.0,10.981981981981983,19.8,105.3,9,171,184
SRAD19P8_N193,True,193.2,2020,W3,12030,9859.0,-2171.0,18.04655029093932,19.8,105.3,9,171,184
SRAD19P8_N193,True,193.2,2020,W4,11595,9869.0,-1726.0,14.885726606295819,19.8,105.3,9,171,184
