scenario,year,treatment,obs,HWAM,error,ARE_pct,SRADA,PRCP,ETCM,SWXM,active_WTH_sha256
BASE,2019,W1,9250,12758.0,3508.0,37.924324324324324,23.3,83.3,526,67,17f7ed26ee3769d84465c271609eb7d3b487cf98e4f20e8868a6b39e8a37498c
BASE,2019,W2,10725,12772.0,2047.0,19.086247086247084,23.3,83.3,526,72,17f7ed26ee3769d84465c271609eb7d3b487cf98e4f20e8868a6b39e8a37498c
BASE,2019,W3,12490,12772.0,282.0,2.257806244995997,23.3,83.3,526,75,17f7ed26ee3769d84465c271609eb7d3b487cf98e4f20e8868a6b39e8a37498c
BASE,2019,W4,12030,12772.0,742.0,6.1679135494596835,23.3,83.3,526,79,17f7ed26ee3769d84465c271609eb7d3b487cf98e4f20e8868a6b39e8a37498c
BASE,2020,W1,9275,17591.0,8316.0,89.66037735849056,24.2,103.1,510,72,73a5ce6715f8c11a7ef1ca540035fb8ba9e8c672a38a91298b0ac0ef1f4cd09b
BASE,2020,W2,11100,17607.0,6507.0,58.62162162162162,24.2,103.1,511,75,73a5ce6715f8c11a7ef1ca540035fb8ba9e8c672a38a91298b0ac0ef1f4cd09b
BASE,2020,W3,12030,17607.0,5577.0,46.35910224438903,24.2,103.1,511,79,73a5ce6715f8c11a7ef1ca540035fb8ba9e8c672a38a91298b0ac0ef1f4cd09b
BASE,2020,W4,11595,17607.0,6012.0,51.84993531694696,24.2,103.1,511,82,73a5ce6715f8c11a7ef1ca540035fb8ba9e8c672a38a91298b0ac0ef1f4cd09b
RAIN_MATCH,2019,W1,9250,12768.0,3518.0,38.03243243243244,23.3,96.1,529,69,1e8a408c9b0a8ac7f0c272d01022e58e6b1aa77415ebb709e0ee7f42d152d317
RAIN_MATCH,2019,W2,10725,12772.0,2047.0,19.086247086247084,23.3,96.1,529,73,1e8a408c9b0a8ac7f0c272d01022e58e6b1aa77415ebb709e0ee7f42d152d317
RAIN_MATCH,2019,W3,12490,12772.0,282.0,2.257806244995997,23.3,96.1,529,76,1e8a408c9b0a8ac7f0c272d01022e58e6b1aa77415ebb709e0ee7f42d152d317
RAIN_MATCH,2019,W4,12030,12772.0,742.0,6.1679135494596835,23.3,96.1,529,80,1e8a408c9b0a8ac7f0c272d01022e58e6b1aa77415ebb709e0ee7f42d152d317
RAIN_MATCH,2020,W1,9275,17629.0,8354.0,90.0700808625337,24.2,119.4,513,76,07ee0e75bbaa916fb753abf6a18a35cebd1378f5fe218b27809aa528a53b44d5
RAIN_MATCH,2020,W2,11100,17629.0,6529.0,58.81981981981982,24.2,119.4,513,79,07ee0e75bbaa916fb753abf6a18a35cebd1378f5fe218b27809aa528a53b44d5
RAIN_MATCH,2020,W3,12030,17624.0,5594.0,46.500415627597675,24.2,119.4,513,82,07ee0e75bbaa916fb753abf6a18a35cebd1378f5fe218b27809aa528a53b44d5
RAIN_MATCH,2020,W4,11595,17625.0,6030.0,52.00517464424321,24.2,119.4,513,86,07ee0e75bbaa916fb753abf6a18a35cebd1378f5fe218b27809aa528a53b44d5
SRAD_19P8,2019,W1,9250,10784.0,1534.0,16.583783783783783,19.9,81.7,450,85,b34a04231c51033ce4e47da44ac8768fce0e5ea89f5047bad54342028cbebabf
SRAD_19P8,2019,W2,10725,10784.0,59.0,0.5501165501165501,19.9,81.7,450,89,b34a04231c51033ce4e47da44ac8768fce0e5ea89f5047bad54342028cbebabf
SRAD_19P8,2019,W3,12490,10784.0,-1706.0,13.65892714171337,19.9,81.7,450,92,b34a04231c51033ce4e47da44ac8768fce0e5ea89f5047bad54342028cbebabf
SRAD_19P8,2019,W4,12030,10784.0,-1246.0,10.357439733998337,19.9,81.7,450,95,b34a04231c51033ce4e47da44ac8768fce0e5ea89f5047bad54342028cbebabf
SRAD_19P8,2020,W1,9275,14533.0,5258.0,56.690026954177895,19.8,105.3,438,85,d238a68fa967cd0017d9b8ebee979e500c12cbc33e159a33faab10b80ac7939a
SRAD_19P8,2020,W2,11100,14532.0,3432.0,30.91891891891892,19.8,105.3,438,89,d238a68fa967cd0017d9b8ebee979e500c12cbc33e159a33faab10b80ac7939a
SRAD_19P8,2020,W3,12030,14532.0,2502.0,20.798004987531172,19.8,105.3,438,92,d238a68fa967cd0017d9b8ebee979e500c12cbc33e159a33faab10b80ac7939a
SRAD_19P8,2020,W4,11595,14533.0,2938.0,25.33850797757654,19.8,105.3,438,96,d238a68fa967cd0017d9b8ebee979e500c12cbc33e159a33faab10b80ac7939a
WEATHER_BOTH,2019,W1,9250,10784.0,1534.0,16.583783783783783,19.9,94.2,453,86,54c3fb5039e54adc323e35c49f393013216e9de92ddbed0c8697c63616197835
WEATHER_BOTH,2019,W2,10725,10784.0,59.0,0.5501165501165501,19.9,94.2,453,90,54c3fb5039e54adc323e35c49f393013216e9de92ddbed0c8697c63616197835
WEATHER_BOTH,2019,W3,12490,10784.0,-1706.0,13.65892714171337,19.9,94.2,453,93,54c3fb5039e54adc323e35c49f393013216e9de92ddbed0c8697c63616197835
WEATHER_BOTH,2019,W4,12030,10784.0,-1246.0,10.357439733998337,19.9,94.2,453,97,54c3fb5039e54adc323e35c49f393013216e9de92ddbed0c8697c63616197835
WEATHER_BOTH,2020,W1,9275,14543.0,5268.0,56.7978436657682,19.8,122.0,439,89,0becfd0d624d60a2ff7aa0c7edd5a0e59523d5162e29a620751073e8cfc556fe
WEATHER_BOTH,2020,W2,11100,14543.0,3443.0,31.01801801801802,19.8,122.0,439,93,0becfd0d624d60a2ff7aa0c7edd5a0e59523d5162e29a620751073e8cfc556fe
WEATHER_BOTH,2020,W3,12030,14543.0,2513.0,20.88944305901912,19.8,122.0,439,96,0becfd0d624d60a2ff7aa0c7edd5a0e59523d5162e29a620751073e8cfc556fe
WEATHER_BOTH,2020,W4,11595,14543.0,2948.0,25.42475204829668,19.8,122.0,439,100,0becfd0d624d60a2ff7aa0c7edd5a0e59523d5162e29a620751073e8cfc556fe
