date,year,doy,SRAD_MJ_m2_d,TMAX_C,TMIN_C,RAIN_mm
2020-05-01,2020,122,16.27,22.08,13.52,0.68
2020-05-02,2020,123,25.18,26.31,11.55,0.0
2020-05-03,2020,124,25.73,30.08,13.09,0.06
2020-05-04,2020,125,10.41,25.64,16.37,0.44
2020-05-05,2020,126,21.72,25.86,11.9,2.24
2020-05-06,2020,127,26.47,18.64,8.02,0.06
2020-05-07,2020,128,29.75,22.27,5.79,0.17
2020-05-08,2020,129,27.89,26.93,8.13,0.0
2020-05-09,2020,130,29.1,28.61,14.13,0.0
2020-05-10,2020,131,22.68,29.12,14.26,0.0
2020-05-11,2020,132,23.93,32.84,16.73,0.0
2020-05-12,2020,133,19.52,28.96,19.02,0.11
2020-05-13,2020,134,25.16,31.65,18.27,0.14
2020-05-14,2020,135,26.92,31.61,16.98,0.01
2020-05-15,2020,136,26.37,34.8,16.88,0.0
2020-05-16,2020,137,19.89,30.8,16.65,0.0
2020-05-17,2020,138,21.06,29.91,19.37,0.01
2020-05-18,2020,139,22.05,29.98,19.06,0.43
2020-05-19,2020,140,18.67,27.46,20.22,1.56
2020-05-20,2020,141,20.03,30.03,17.71,0.41
2020-05-21,2020,142,14.59,21.22,15.05,6.42
2020-05-22,2020,143,29.57,29.11,12.46,0.0
2020-05-23,2020,144,25.43,30.28,15.85,0.02
2020-05-24,2020,145,23.02,29.48,16.88,2.78
2020-05-25,2020,146,28.05,30.62,17.29,0.05
2020-05-26,2020,147,29.34,33.68,20.07,0.17
2020-05-27,2020,148,28.74,36.43,20.22,0.12
2020-05-28,2020,149,31.24,27.39,16.72,0.02
2020-05-29,2020,150,31.57,31.02,14.31,0.26
2020-05-30,2020,151,29.25,34.04,16.26,0.0
2020-05-31,2020,152,30.2,33.5,18.28,0.0
2020-06-01,2020,153,31.31,35.92,19.39,0.0
2020-06-02,2020,154,30.35,37.95,21.69,0.0
2020-06-03,2020,155,26.67,36.01,24.01,0.07
2020-06-04,2020,156,25.52,37.09,22.72,0.12
2020-06-05,2020,157,17.15,38.01,15.68,7.04
2020-06-06,2020,158,30.41,23.9,11.05,0.37
2020-06-07,2020,159,30.57,24.78,13.37,0.87
2020-06-08,2020,160,30.06,27.46,13.12,0.0
2020-06-09,2020,161,27.27,31.41,14.9,0.01
2020-06-10,2020,162,22.13,28.9,17.29,0.19
2020-06-11,2020,163,24.3,29.32,16.12,0.19
2020-06-12,2020,164,27.66,30.82,18.94,0.35
2020-06-13,2020,165,24.23,30.25,18.86,0.58
2020-06-14,2020,166,22.81,31.46,17.6,0.01
2020-06-15,2020,167,28.72,35.36,19.77,0.0
2020-06-16,2020,168,23.72,36.53,20.62,0.0
2020-06-17,2020,169,15.22,36.04,21.35,0.34
2020-06-18,2020,170,23.86,31.82,19.32,2.74
2020-06-19,2020,171,17.16,28.4,18.52,1.22
2020-06-20,2020,172,28.37,33.28,17.47,1.06
2020-06-21,2020,173,30.61,25.83,14.45,1.39
2020-06-22,2020,174,31.92,27.68,11.64,1.76
2020-06-23,2020,175,29.23,31.84,14.84,0.0
2020-06-24,2020,176,20.77,32.03,21.26,0.47
2020-06-25,2020,177,25.46,31.98,19.97,0.03
2020-06-26,2020,178,28.89,34.76,19.57,0.0
2020-06-27,2020,179,20.33,36.34,21.8,0.21
2020-06-28,2020,180,8.88,28.78,14.43,1.4
2020-06-29,2020,181,8.39,15.65,12.03,12.11
2020-06-30,2020,182,28.0,25.22,11.98,1.3
2020-07-01,2020,183,29.72,30.73,13.44,0.0
2020-07-02,2020,184,28.68,34.28,20.19,0.02
2020-07-03,2020,185,24.93,36.26,21.67,0.81
2020-07-04,2020,186,28.82,34.02,20.65,0.64
2020-07-05,2020,187,27.01,32.08,19.05,0.61
2020-07-06,2020,188,16.14,29.04,20.31,1.31
2020-07-07,2020,189,24.92,28.0,19.16,1.16
