arm,year,treatment,observed_yield_kg_ha,simulated_HWAM_kg_ha,error_kg_ha,ARE_pct,CWAM
M0,2019,W1,9250,12758.0,3508.0,37.924324324324324,
M0,2019,W2,10725,12772.0,2047.0,19.086247086247084,
M0,2019,W3,12490,12772.0,282.0,2.257806244995997,
M0,2019,W4,12030,12772.0,742.0,6.1679135494596835,
M0,2020,W1,9275,17591.0,8316.0,89.66037735849056,
M0,2020,W2,11100,17607.0,6507.0,58.62162162162162,
M0,2020,W3,12030,17607.0,5577.0,46.35910224438903,
M0,2020,W4,11595,17607.0,6012.0,51.84993531694696,
H0TT,2019,W1,9250,12598.0,3348.0,36.19459459459459,
H0TT,2019,W2,10725,12612.0,1887.0,17.594405594405593,
H0TT,2019,W3,12490,12612.0,122.0,0.976781425140112,
H0TT,2019,W4,12030,12612.0,582.0,4.837905236907731,
H0TT,2020,W1,9275,16657.0,7382.0,79.59029649595686,
H0TT,2020,W2,11100,17002.0,5902.0,53.171171171171174,
H0TT,2020,W3,12030,17003.0,4973.0,41.3383208645054,
H0TT,2020,W4,11595,17003.0,5408.0,46.640793445450626,
M15TT,2019,W1,9250,12757.0,3507.0,37.913513513513514,
M15TT,2019,W2,10725,12772.0,2047.0,19.086247086247084,
M15TT,2019,W3,12490,12772.0,282.0,2.257806244995997,
M15TT,2019,W4,12030,12772.0,742.0,6.1679135494596835,
M15TT,2020,W1,9275,17172.0,7897.0,85.14285714285714,
M15TT,2020,W2,11100,17182.0,6082.0,54.79279279279279,
M15TT,2020,W3,12030,17181.0,5151.0,42.81795511221945,
M15TT,2020,W4,11595,17182.0,5587.0,48.1845623113411,
