*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.5.000 -HEAD  AUG 29, 2026 12:19:46

*RUN   1        : GUO2025 XINYU66 REAL      MZCER048 SHIH2002    1
 MODEL          : MZCER048 - Maize
 EXPERIMENT     : SHIH2002 MZ GUO2025 SHIHEZI 2020 W2
 DATA PATH      :
 TREATMENT  1   : GUO2025 XINYU66 REAL      MZCER048
  
@YEAR DOY   DAS   DAP   CNAD   GNAD   VNAD   GN%D   VN%D   NUPC   LNAD   SNAD   LN%D   SN%D   RN%D   SNN0C   SNN1C
 2020 126     2     0    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2020 127     3     1    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2020 128     4     2    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2020 129     5     3    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2020 130     6     4    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2020 131     7     5    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2020 132     8     6    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2020 133     9     7    1.6    0.0    1.6   0.00   4.40    0.0    0.8    0.8    4.4   4.40   2.20    0.00    0.00
 2020 134    10     8    1.6    0.0    1.6   0.00   4.40    0.0    0.8    0.8    4.4   4.40   2.10    0.00    0.00
 2020 135    11     9    1.6    0.0    1.6   0.00   4.40    0.0    0.8    0.8    4.4   4.40   1.89    0.00    0.00
 2020 136    12    10    1.6    0.0    1.6   0.00   4.40    0.0    0.8    0.8    4.4   4.40   1.64    0.00    0.00
 2020 137    13    11    1.6    0.0    1.6   0.00   4.40    0.0    0.8    0.8    4.4   4.40   1.44    0.00    0.00
 2020 138    14    12    1.6    0.0    1.6   0.00   3.91    0.0    0.9    0.7    3.9   3.91   1.22    0.00    0.00
 2020 139    15    13    1.6    0.0    1.6   0.00   2.90    0.1    1.0    0.5    2.9   2.90   1.21    0.00    0.00
 2020 140    16    14    2.1    0.0    2.1   0.00   2.99    0.7    1.5    0.5    3.0   2.99   1.23    0.00    0.00
 2020 141    17    15    2.7    0.0    2.7   0.00   3.00    1.4    2.1    0.5    3.0   3.00   1.28    0.00    0.01
 2020 142    18    16    3.4    0.0    3.4   0.00   3.31    2.3    2.8    0.6    3.3   3.31   1.26    0.00    0.01
 2020 143    19    17    3.9    0.0    3.9   0.00   3.11    3.4    3.3    0.6    3.1   3.11   1.42    0.00    0.01
 2020 144    20    18    5.8    0.0    5.8   0.00   3.78    5.6    5.1    0.7    3.8   3.78   1.31    0.00    0.02
 2020 145    21    19    7.0    0.0    7.0   0.00   3.75    7.1    6.3    0.7    3.7   3.75   1.27    0.00    0.03
 2020 146    22    20    8.5    0.0    8.5   0.00   3.72    9.3    7.8    0.7    3.7   3.72   1.31    0.00    0.04
 2020 147    23    21   10.5    0.0   10.5   0.00   3.70   12.0    9.9    0.7    3.7   3.70   1.28    0.00    0.05
 2020 148    24    22   13.1    0.0   13.1   0.00   3.67   15.3   12.4    0.7    3.7   3.67   1.26    0.00    0.07
 2020 149    25    23   14.6    0.0   14.6   0.00   3.54   18.0   14.0    0.6    3.5   3.54   1.25    0.00    0.09
 2020 150    26    24   15.8    0.0   15.8   0.00   3.26   19.9   15.2    0.6    3.3   3.26   1.13    0.00    0.12
 2020 151    27    25   17.8    0.0   17.8   0.00   3.08   22.6   17.2    0.7    3.1   3.08   1.08    0.00    0.15
 2020 152    28    26   19.2    0.0   19.2   0.00   2.78   24.5   18.4    0.7    2.8   2.78   0.99    0.00    0.18
 2020 153    29    27   20.2    0.0   20.2   0.00   2.43   25.9   19.3    0.9    2.4   2.43   0.90    0.00    0.22
 2020 154    30    28   21.0    0.0   21.0   0.00   2.13   26.9   19.8    1.2    2.1   2.13   0.83    0.00    0.25
 2020 155    31    29   22.6    0.0   22.6   0.00   2.01   29.1   21.0    1.6    2.0   2.01   0.80    0.00    0.29
 2020 156    32    30   23.9    0.0   23.9   0.00   1.86   30.8   21.9    2.1    1.9   1.86   0.77    0.00    0.33
 2020 157    33    31   27.1    0.0   27.1   0.00   1.91   34.5   24.4    2.7    1.9   1.91   0.80    0.00    0.38
 2020 158    34    32   29.2    0.0   29.2   0.00   1.96   37.5   26.1    3.2    2.0   1.96   0.77    0.00    0.42
 2020 159    35    33   30.6    0.0   30.6   0.00   1.94   39.5   27.0    3.6    1.9   1.94   0.72    0.00    0.47
 2020 160    36    34   31.7    0.0   31.7   0.00   1.88   41.0   27.6    4.1    1.9   1.88   0.69    0.00    0.52
 2020 161    37    35   32.3    0.0   32.3   0.00   1.78   41.9   27.6    4.6    1.8   1.78   0.66    0.00    0.58
 2020 162    38    36   34.1    0.0   34.1   0.00   1.76   44.4   28.7    5.4    1.8   1.76   0.66    0.00    0.63
 2020 163    39    37   35.9    0.0   35.9   0.00   1.72   46.8   29.6    6.2    1.7   1.72   0.67    0.00    0.69
 2020 164    40    38   37.3    0.0   37.3   0.00   1.66   48.8   30.1    7.2    1.7   1.66   0.66    0.00    0.75
 2020 165    41    39   38.6    0.0   38.6   0.00   1.60   50.5   30.5    8.1    1.6   1.60   0.65    0.00    0.81
 2020 166    42    40   39.7    0.0   39.7   0.00   1.48   51.9   30.4    9.3    1.5   1.48   0.66    0.00    0.88
 2020 167    43    41   43.9    0.0   43.9   0.00   1.47   57.0   32.1   11.8    1.5   1.47   0.69    0.00    0.94
 2020 168    44    42   47.3    0.0   47.3   0.00   1.44   61.0   33.0   14.3    1.4   1.44   0.72    0.00    1.01
 2020 169    45    43   49.0    0.0   49.0   0.00   1.41   63.1   33.2   15.8    1.4   1.41   0.73    0.00    1.09
 2020 170    46    44   50.5    0.0   50.5   0.00   1.38   64.8   33.2   17.3    1.4   1.38   0.73    0.00    1.16
 2020 171    47    45   51.6    0.0   51.6   0.00   1.35   66.2   33.2   18.5    1.3   1.35   0.73    0.00    1.24
 2020 172    48    46   52.5    0.0   52.5   0.00   1.31   67.3   33.1   19.4    1.3   1.31   0.71    0.00    1.31
 2020 173    49    47   53.2    0.0   53.2   0.00   1.30   68.2   33.3   19.9    1.3   1.30   0.68    0.00    1.39
 2020 174    50    48   53.6    0.0   53.6   0.00   1.30   68.8   33.5   20.2    1.3   1.30   0.65    0.00    1.47
 2020 175    51    49   55.7    0.0   55.7   0.00   1.32   71.5   34.6   21.2    1.3   1.32   0.65    0.00    1.55
 2020 176    52    50   56.9    0.0   56.9   0.00   1.30   73.0   34.8   22.1    1.3   1.30   0.65    0.00    1.63
 2020 177    53    51   57.7    0.0   57.7   0.00   1.29   74.1   35.2   22.5    1.3   1.29   0.65    0.00    1.71
 2020 178    54    52   58.2    0.0   58.2   0.00   1.29   74.7   35.7   22.5    1.3   1.29   0.64    0.00    1.79
 2020 179    55    53   58.7    0.0   58.7   0.00   1.27   75.3   35.9   22.8    1.3   1.27   0.64    0.00    1.88
 2020 180    56    54   59.2    0.0   59.2   0.00   1.26   76.1   36.0   23.2    1.3   1.26   0.65    0.00    1.96
 2020 181    57    55   59.8    0.0   59.8   0.00   1.26   76.8   35.7   24.1    1.3   1.26   0.65    0.00    2.04
 2020 182    58    56   60.1    0.0   60.1   0.00   1.22   77.3   34.0   26.1    1.2   1.22   0.65    0.00    2.13
 2020 183    59    57   60.3    0.0   60.3   0.00   1.18   77.7   32.4   27.9    1.2   1.18   0.65    0.00    2.21
 2020 184    60    58   62.8    0.0   62.8   0.00   1.18   80.7   32.1   30.7    1.2   1.18   0.67    0.00    2.30
 2020 185    61    59   63.9    0.0   63.9   0.00   1.17   82.1   31.4   32.5    1.2   1.17   0.68    0.00    2.39
 2020 186    62    60   64.6    0.0   64.6   0.00   1.15   82.9   30.3   34.3    1.2   1.15   0.68    0.00    2.48
 2020 187    63    61   65.0    0.0   65.0   0.00   1.13   83.5   29.2   35.8    1.1   1.13   0.69    0.00    2.57
 2020 188    64    62   65.5    0.0   65.5   0.00   1.13   84.2   28.6   36.9    1.1   1.13   0.69    0.00    2.65
 2020 189    65    63   66.0    0.0   66.0   0.00   1.12   84.8   27.7   38.3    1.1   1.12   0.69    0.00    2.74
 2020 190    66    64   66.3    0.0   66.3   0.00   1.10   85.3   26.6   39.7    1.1   1.10   0.70    0.00    2.84
 2020 191    67    65   68.4    3.9   64.5   1.04   1.09   87.8   26.2   38.3    1.1   1.09   0.71    0.00    2.93
 2020 192    68    66   69.6    6.2   63.4   1.03   1.06   89.3   25.6   37.8    1.1   1.06   0.72    0.00    3.02
 2020 193    69    67   70.4    8.7   61.6   1.02   1.04   90.3   25.2   36.5    1.0   1.04   0.73    0.00    3.11
 2020 194    70    68   71.2   11.2   60.1   1.01   1.02   91.3   24.7   35.4    1.0   1.02   0.74    0.00    3.20
 2020 195    71    69   71.8   13.6   58.3   1.00   0.99   92.1   23.8   34.4    1.0   0.99   0.74    0.00    3.30
 2020 196    72    70   72.3   16.0   56.3   0.99   0.95   92.8   23.0   33.3    1.0   0.95   0.74    0.00    3.39
 2020 197    73    71   72.8   18.3   54.6   0.98   0.92   93.5   22.2   32.3    0.9   0.92   0.75    0.00    3.49
 2020 198    74    72   75.7   19.9   55.8   0.98   0.94   97.0   22.6   33.2    0.9   0.94   0.77    0.00    3.59
 2020 199    75    73   78.0   21.0   57.0   0.98   0.95   99.7   22.8   34.1    0.9   0.95   0.77    0.00    3.68
 2020 200    76    74   79.3   21.7   57.6   0.98   0.96  101.3   23.1   34.5    1.0   0.96   0.78    0.00    3.78
 2020 201    77    75   80.5   22.5   58.0   0.99   0.96  102.9   23.3   34.8    1.0   0.96   0.78    0.00    3.88
 2020 202    78    76   82.2   25.1   57.1   0.99   0.97  105.0   23.5   33.6    1.0   0.97   0.80    0.00    3.99
 2020 203    79    77   83.6   27.7   55.9   0.99   0.96  106.7   23.3   32.7    1.0   0.96   0.81    0.00    4.09
 2020 204    80    78   84.7   30.1   54.6   1.00   0.94  108.1   22.8   31.8    0.9   0.94   0.82    0.00    4.20
 2020 205    81    79   87.3   32.7   54.5   1.00   0.96  111.2   23.1   31.4    1.0   0.96   0.84    0.00    4.30
 2020 206    82    80   88.6   34.9   53.7   1.01   0.94  112.9   22.7   31.0    0.9   0.94   0.85    0.00    4.41
 2020 207    83    81   89.6   37.1   52.5   1.01   0.92  114.2   22.2   30.3    0.9   0.92   0.86    0.00    4.52
 2020 208    84    82   90.2   38.9   51.3   1.02   0.89  114.9   21.5   29.7    0.9   0.89   0.86    0.00    4.63
