*GROWTH ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.5.000 -HEAD  AUG 29, 2026 12:13:41

*RUN   1        : GUO2025 XINYU66 REAL      MZCER048 SHIH2002    1
 MODEL          : MZCER048 - Maize
 EXPERIMENT     : SHIH2002 MZ GUO2025 SHIHEZI 2020 W2
 DATA PATH      :
 TREATMENT  1   : GUO2025 XINYU66 REAL      MZCER048
  
!                                                                                                                                                                                                                                      Root Dens. (cm/cm3) by soil depth (cm):
!                                                                                                                                                                                                                                      0-5    5-15   15-20   20-30   30-40   40-50   50-60   60-70   70-80  80-100
@YEAR DOY   DAS   DAP   L#SD   GSTD   LAID   LWAD   SWAD   GWAD   RWAD   VWAD   CWAD   G#AD   GWGD   HIAD   PWAD   P#AD   WSPD   WSGD   NSTD   EWSD  PST1A  PST2A   KSTD   LN%D   SH%D   HIPD   PWDD   PWTD     SLAD   CHTD   CWID   RDPD    RL1D    RL2D    RL3D    RL4D    RL5D    RL6D    RL7D    RL8D    RL9D   RL10D   CDAD   LDAD   SDAD   SNW0C   SNW1C  DTTD
 2020 126     2     0    0.0      0   0.00      0      0      0      0      0      0      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0      0.0   0.00   0.00   0.04    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0 12.19
 2020 127     3     1    0.0      0   0.00      0      0      0      0      0      0      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0      0.0   0.00   0.00   0.05    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0  6.54
 2020 128     4     2    0.0      0   0.00      0      0      0      0      0      0      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0      0.0   0.00   0.00   0.06    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0  8.28
 2020 129     5     3    0.0      0   0.00      0      0      0      0      0      0      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0      0.0   0.00   0.00   0.08    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0 11.85
 2020 130     6     4    0.0      0   0.00      0      0      0      0      0      0      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0      0.0   0.00   0.00   0.10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0 15.25
 2020 131     7     5    0.0      0   0.00      0      0      0      0      0      0      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0      0.0   0.00   0.00   0.13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0 15.14
 2020 132     8     6    0.0      0   0.00      0      0      0      0      0      0      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0      0.0   0.00   0.00   0.15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0 18.42
 2020 133     9     7    2.0      1   0.01     18     18      0     18     36     36      0    0.0  0.000      0      0  0.000  0.000  0.012  0.000  0.000  0.000  0.000   4.40   0.00   0.00      0      0     28.3   0.00   0.00   0.17    0.35    0.18    0.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0 16.80
 2020 134    10     8    2.0      1   0.01     18     18      0     19     36     36      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   4.40   0.00   0.00      0      0     59.4   0.00   0.00   0.19    0.35    0.19    0.04    0.00    0.00    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0 18.42
 2020 135    11     9    3.0      1   0.02     18     18      0     21     36     36      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   4.40   0.00   0.00      0      0     94.3   0.01   0.00   0.21    0.35    0.20    0.08    0.00    0.00    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0 18.05
 2020 136    12    10    3.0      1   0.02     18     18      0     24     36     36      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   4.40   0.00   0.00      0      0    137.6   0.01   0.00   0.22    0.35    0.23    0.13    0.01    0.00    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0 19.94
 2020 137    13    11    4.0      1   0.05     18     18      0     27     36     36      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   4.40   0.00   0.00      0      0    262.3   0.02   0.00   0.24    0.35    0.26    0.18    0.02    0.00    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0 16.87
 2020 138    14    12    4.0      2   0.08     22     18      0     32     40     40      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.91   0.00   0.00      0      0    350.3   0.03   0.00   0.26    0.34    0.30    0.24    0.05    0.00    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0 17.58
 2020 139    15    13    5.0      2   0.11     36     18      0     37     54     54      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   2.90   0.00   0.00      0      0    317.6   0.04   0.00   0.27    0.34    0.34    0.30    0.08    0.00    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0 17.58
 2020 140    16    14    5.0      2   0.15     52     18      0     44     70     70      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   2.99   0.00   0.00      0      0    295.0   0.06   0.00   0.29    0.34    0.38    0.38    0.13    0.00    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0 16.41
 2020 141    17    15    5.0      2   0.20     71     18      0     55     89     89      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.00   0.00   0.00      0      0    276.5   0.08   0.00   0.30    0.34    0.46    0.49    0.22    0.00    0.00    0.00    0.00    0.00    0.00      0      0      0       0       1 16.87
 2020 142    18    16    6.0      2   0.23     84     18      0     68    102    102      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.31   0.00   0.00      0      0    266.9   0.09   0.00   0.31    0.60    0.49    0.54    0.26    0.01    0.00    0.00    0.00    0.00    0.00      0      0      0       0       1 10.48
 2020 143    19    17    6.0      2   0.27    106     18      0    101    124    124      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.11   0.00   0.00      0      0    254.5   0.11   0.00   0.33    1.28    0.58    0.66    0.38    0.05    0.00    0.00    0.00    0.00    0.00      0      0      0       0       1 15.02
 2020 144    20    18    6.0      2   0.33    135     18      0    132    153    153      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.78   0.00   0.00      0      0    242.3   0.13   0.00   0.34    1.88    0.66    0.76    0.49    0.12    0.00    0.00    0.00    0.00    0.00      0      0      0       0       2 16.67
 2020 145    21    19    7.0      2   0.39    168     18      0    164    186    186      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.75   0.00   0.00      0      0    231.5   0.15   0.00   0.37    2.49    0.72    0.85    0.58    0.25    0.00    0.00    0.00    0.00    0.00      0      0      0       0       2 16.45
 2020 146    22    20    7.0      2   0.46    210     18      0    212    227    227      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.72   0.00   0.00      0      0    221.3   0.18   0.00   0.41    3.38    0.79    0.95    0.70    0.51    0.00    0.00    0.00    0.00    0.00      0      0      0       0       3 17.63
 2020 147    23    21    8.0      2   0.56    267     18      0    267    285    285      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.70   0.00   0.00      0      0    210.4   0.22   0.00   0.44    4.00    0.83    1.02    0.82    0.79    0.14    0.00    0.00    0.00    0.00      0      0      0       0       4 20.70
 2020 148    24    22    8.0      2   0.68    339     18      0    326    357    357      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.67   0.00   0.00      0      0    200.2   0.26   0.00   0.48    4.00    0.87    1.06    0.89    1.14    0.75    0.00    0.00    0.00    0.00      0      0      0       0       6 22.04
 2020 149    25    23    9.0      3   0.77    396     18      0    421    414    414      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.54   0.00   0.00      0      0    193.2   0.30   0.00   0.50    3.98    0.97    1.17    0.98    1.27    2.24    0.00    0.00    0.00    0.00      0      0      0       0       7 15.57
 2020 150    26    24    9.0      3   0.88    467     19      0    522    485    485      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.26   0.00   0.00      0      0    187.6   0.34   0.00   0.53    3.96    1.09    1.29    1.09    1.37    3.09    0.75    0.00    0.00    0.00      0      0      0       0       9 17.06
 2020 151    27    25    9.0      3   1.01    558     21      0    614    579    579      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.08   0.00   0.00      0      0    181.6   0.39   0.00   0.56    3.94    1.19    1.38    1.17    1.45    3.32    2.02    0.00    0.00    0.00      0      0      0       0      12 19.48
 2020 152    28    26   10.0      3   1.17    664     27      0    717    690    690      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   2.78   0.00   0.00      0      0    175.8   0.45   0.00   0.60    3.92    1.32    1.51    1.27    1.56    3.40    3.57    0.00    0.00    0.00      0      0      0       0      15 19.98
 2020 153    29    27   10.0      3   1.35    793     38      0    827    831    831      0    0.0  0.000      0      0  0.000  0.000  0.006  0.000  0.000  0.000  0.000   2.43   0.00   0.00      0      0    169.9   0.52   0.00   0.63    3.90    1.50    1.69    1.43    1.71    3.52    4.00    0.00    0.00    0.00      0      0      0       0      19 21.70
 2020 154    30    28   11.0      3   1.52    927     56      0    927    983    983      0    0.0  0.000      0      0  0.000  0.000  0.058  0.000  0.000  0.000  0.000   2.13   0.00   0.00      0      0    163.7   0.59   0.00   0.67    3.88    1.62    1.81    1.53    1.81    3.58    4.00    1.35    0.00    0.00      0      0      0       0      23 22.81
