*Soil Inorganic Nitrogen daily output file

*DSSAT Cropping System Model Ver. 4.8.5.000 -HEAD  AUG 29, 2026 12:13:41

*RUN   1        : GUO2025 XINYU66 REAL      MZCER048 SHIH2002    1
 MODEL          : MZCER048 - Maize
 EXPERIMENT     : SHIH2002 MZ GUO2025 SHIHEZI 2020 W2
 DATA PATH      :
 TREATMENT  1   : GUO2025 XINYU66 REAL      MZCER048
  
!                                                                                                                                      NO3 (ppm) at soil dep. (cm):                                                    NH4 (ppm) at soil dep. (cm):                                                    Total Inorganic N @dep(ppm):
!                                                                                                                                       0-5    5-15   15-20   20-30   30-40   40-50   50-60   60-70   70-80  80-100     0-5    5-15   15-20   20-30   30-40   40-50   50-60   60-70   70-80  80-100     0-5    5-15   15-20   20-30   30-40   40-50   50-60   60-70   70-80  80-100
@YEAR DOY   DAS  NAPC  NI#M    NIAD    NITD    NHTD   NURTD    NMNC    NITC    NDNC    NIMC    AMLC   NNMNC    NUCM    NLCC    TDNC    NI1D    NI2D    NI3D    NI4D    NI5D    NI6D    NI7D    NI8D    NI9D    NI10    NH1D    NH2D    NH3D    NH4D    NH5D    NH6D    NH7D    NH8D    NH9D    NH10    NT1D    NT2D    NT3D    NT4D    NT5D    NT6D    NT7D    NT8D    NT9D    NT10    
 2020 124     0     0     0    31.5    15.8    15.8     0.0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.00     1.0     1.0    1.00    1.00    1.00    1.00    1.00    1.00    1.00    1.00    1.00    1.00    1.00    1.00    1.00    1.00    1.00    1.00    1.00    2.00    2.00    2.00    2.00    2.00    2.00    2.00    2.00    2.00    2.00
 2020 125     1     0     0    32.3    20.6    11.7     0.0    0.80    4.89    0.00    0.00    0.00    0.80    0.00    0.00    0.00    1.37     1.4     1.4    1.34    1.33    1.31    1.30    1.29    1.28    1.26    0.68    0.69    0.70    0.71    0.73    0.74    0.75    0.76    0.77    0.78    2.04    2.06    2.06    2.05    2.05    2.05    2.05    2.05    2.05    2.04
 2020 126     2     0     0    33.0    24.2     8.9     0.0    1.59    8.46    0.00    0.00    0.00    1.59    0.00    0.04    0.00    0.49     1.0     2.6    1.06    1.89    1.88    1.78    1.62    1.55    1.48    0.47    0.49    0.51    0.52    0.54    0.56    0.58    0.60    0.61    0.62    0.96    1.53    3.08    1.58    2.43    2.45    2.36    2.21    2.15    2.09
 2020 127     3    13     1    41.5    26.1    15.4     2.5    2.36   10.45    0.00    0.00    2.72    2.36    0.00    0.17    0.00    0.73     1.0     2.3    1.26    1.83    1.90    1.98    1.86    1.80    1.67   10.61    0.43    0.45    0.49    0.51    0.52    0.50    0.50    0.50    0.50   11.34    1.45    2.73    1.75    2.34    2.42    2.48    2.36    2.30    2.17
 2020 128     4    13     1    41.5    29.9    11.6     1.1    3.04   14.44    0.00    0.00    4.52    3.04    0.00    0.45    0.00    4.23     1.1     2.1    1.36    1.80    1.88    2.04    2.00    1.99    1.84    6.59    0.36    0.41    0.45    0.47    0.50    0.46    0.45    0.44    0.43   10.81    1.41    2.48    1.82    2.27    2.38    2.51    2.45    2.43    2.26
 2020 129     5    13     1    39.6    29.9     9.7     0.6    3.64   16.90    0.00    0.00    5.04    3.64    0.00    2.89    0.00    6.07     1.1     1.9    1.38    1.67    1.69    1.84    1.80    1.84    1.87    4.79    0.30    0.37    0.42    0.44    0.47    0.44    0.42    0.41    0.37   10.86    1.41    2.25    1.79    2.11    2.17    2.28    2.22    2.25    2.25
 2020 130     6    13     1    38.9    30.7     8.2     0.3    4.20   18.88    0.00    0.00    5.29    4.20    0.00    4.15    0.00    7.23     1.2     1.8    1.42    1.65    1.64    1.78    1.74    1.81    1.92    3.66    0.27    0.32    0.37    0.40    0.43    0.40    0.38    0.37    0.33   10.89    1.43    2.15    1.79    2.04    2.07    2.18    2.13    2.18    2.25
 2020 131     7    13     1    38.8    31.8     7.0     0.2    4.77   20.60    0.01    0.00    5.42    4.77    0.00    4.79    0.00    8.06     1.2     1.8    1.48    1.68    1.66    1.79    1.75    1.83    1.97    2.85    0.24    0.28    0.33    0.35    0.38    0.36    0.34    0.33    0.29   10.91    1.47    2.12    1.81    2.03    2.04    2.14    2.09    2.16    2.26
 2020 132     8    13     1    39.1    33.1     6.0     0.1    5.36   22.13    0.02    0.00    5.51    5.36    0.00    5.09    0.00    8.71     1.3     1.9    1.54    1.73    1.70    1.83    1.79    1.87    2.03    2.20    0.22    0.25    0.29    0.31    0.33    0.32    0.31    0.30    0.26   10.90    1.52    2.12    1.83    2.04    2.04    2.15    2.10    2.17    2.29
 2020 133     9    13     1    39.7    34.7     5.1     0.1    6.06   23.66    0.03    0.00    5.58    6.06    0.00    5.09    0.00    9.26     1.4     2.0    1.62    1.81    1.79    1.91    1.87    1.94    2.11    1.64    0.20    0.22    0.25    0.27    0.29    0.28    0.28    0.27    0.24   10.90    1.56    2.18    1.87    2.08    2.08    2.19    2.14    2.21    2.34
 2020 134    10    13     1    40.5    36.1     4.4     0.0    6.86   25.15    0.03    0.00    5.62    6.86    0.00    5.15    0.00    9.71     1.4     2.0    1.71    1.90    1.86    1.98    1.94    2.02    2.16    1.21    0.19    0.20    0.22    0.24    0.26    0.25    0.25    0.24    0.21   10.92    1.62    2.23    1.93    2.13    2.12    2.23    2.19    2.26    2.38
 2020 135    11    13     1    41.3    37.5     3.8     0.0    7.73   26.56    0.03    0.00    5.66    7.73    0.00    5.18    0.00   10.06     1.5     2.1    1.79    1.98    1.95    2.06    2.00    2.09    2.22    0.87    0.17    0.18    0.20    0.21    0.23    0.22    0.23    0.22    0.20   10.93    1.68    2.29    2.00    2.19    2.18    2.29    2.23    2.32    2.42
 2020 136    12    13     1    42.1    38.8     3.4     0.0    8.63   27.84    0.04    0.00    5.69    8.63    0.00    5.18    0.00   10.32     1.6     2.2    1.88    2.06    2.03    2.14    2.08    2.16    2.28    0.62    0.17    0.17    0.19    0.19    0.21    0.21    0.21    0.21    0.18   10.94    1.75    2.35    2.06    2.25    2.24    2.35    2.29    2.37    2.47
 2020 137    13    13     1    43.1    40.0     3.1     0.0    9.58   29.05    0.04    0.00    5.72    9.58    0.00    5.18    0.00   10.51     1.7     2.2    1.95    2.14    2.11    2.21    2.15    2.23    2.34    0.45    0.16    0.17    0.17    0.18    0.19    0.19    0.20    0.20    0.17   10.96    1.81    2.40    2.13    2.32    2.30    2.41    2.35    2.43    2.52
 2020 138    14    13     1    44.0    41.1     2.9     0.0   10.51   30.14    0.05    0.00    5.75   10.51    0.00    5.18    0.00   10.65     1.7     2.3    2.03    2.21    2.18    2.28    2.22    2.29    2.39    0.32    0.16    0.16    0.17    0.18    0.18    0.19    0.19    0.19    0.17   10.97    1.88    2.45    2.20    2.38    2.37    2.47    2.41    2.49    2.56
 2020 139    15    13     1    44.9    42.1     2.8     0.0   11.44   31.19    0.05    0.00    5.77   11.44    0.00    5.18    0.00   10.75     1.8     2.3    2.10    2.28    2.25    2.35    2.29    2.36    2.45    0.24    0.16    0.16    0.16    0.17    0.18    0.18    0.19    0.19    0.16   10.99    1.96    2.51    2.26    2.45    2.43    2.53    2.47    2.55    2.61
 2020 140    16    13     1    45.7    43.1     2.7     0.0   12.38   32.19    0.06    0.00    5.79   12.38    0.05    5.18    0.00   10.84     1.9     2.4    2.16    2.35    2.32    2.41    2.35    2.42    2.50    0.17    0.15    0.16    0.16    0.17    0.18    0.18    0.18    0.18    0.16   11.01    2.01    2.54    2.32    2.51    2.49    2.59    2.53    2.60    2.66
 2020 141    17    13     1    46.0    43.4     2.6     0.0   13.31   33.17    0.06    0.00    5.82   13.31    0.67    5.18    0.00   10.92     1.7     2.2    2.13    2.41    2.38    2.48    2.41    2.48    2.55    0.11    0.15    0.16    0.16    0.17    0.17    0.18    0.18    0.18    0.16   11.03    1.88    2.35    2.29    2.58    2.56    2.65    2.59    2.66    2.71
 2020 142    18    13     1    46.1    43.6     2.5     0.0   14.22   34.09    0.06    0.00    5.86   14.22    1.42    5.18    0.00   10.84     1.7     2.0    2.05    2.48    2.45    2.54    2.47    2.54    2.59    0.06    0.15    0.16    0.16    0.17    0.17    0.17    0.18    0.18    0.16   10.90    1.80    2.13    2.21    2.64    2.62    2.71    2.65    2.72    2.75
 2020 143    19    13     1    46.1    43.6     2.5     0.0   15.09   34.94    0.07    0.00    5.90   15.09    2.29    5.18    0.00   10.17     1.6     1.9    2.01    2.54    2.51    2.59    2.53    2.59    2.64    0.04    0.15    0.16    0.16    0.17    0.17    0.17    0.18    0.18    0.16   10.22    1.79    2.06    2.18    2.70    2.68    2.77    2.71    2.77    2.80
 2020 144    20    13     1    45.8    43.3     2.5     0.0   15.93   35.75    0.07    0.00    5.92   15.93    3.35    5.18    0.00    9.45     1.6     1.8    1.95    2.58    2.56    2.64    2.58    2.64    2.68    0.06    0.14    0.16    0.16    0.17    0.17    0.17    0.18    0.18    0.16    9.52    1.73    1.97    2.12    2.75    2.73    2.82    2.76    2.82    2.84
 2020 145    21    13     1    44.4    41.9     2.5     0.0   16.74   36.54    0.08    0.00    5.95   16.74    5.57    5.18    0.00    8.31     1.4     1.5    1.72    2.50    2.62    2.70    2.63    2.69    2.72    0.05    0.14    0.16    0.16    0.17    0.17    0.17    0.18    0.18    0.16    8.36    1.50    1.69    1.88    2.67    2.79    2.87    2.81    2.87    2.88
 2020 146    22    13     1    43.6    41.1     2.5     0.0   17.55   37.33    0.08    0.00    5.97   17.55    7.13    5.18    0.00    7.50     1.2     1.4    1.59    2.39    2.67    2.75    2.69    2.74    2.76    0.06    0.14    0.16    0.17    0.17    0.17    0.17    0.18    0.18    0.16    7.55    1.39    1.56    1.76    2.56    2.84    2.92    2.86    2.92    2.92
 2020 147    23    13     1    42.2    39.7     2.5     0.0   18.35   38.12    0.08    0.00    5.99   18.35    9.32    5.18    0.00    6.79     1.1     1.1    1.36    2.07    2.72    2.80    2.74    2.79    2.80    0.05    0.14    0.16    0.17    0.17    0.17    0.18    0.18    0.18    0.16    6.84    1.19    1.31    1.52    2.23    2.90    2.97    2.92    2.97    2.96
 2020 148    24    13     1    40.3    37.8     2.5     0.0   19.22   38.99    0.09    0.00    6.01   19.22   12.05    5.18    0.00    6.29     0.8     0.8    1.02    1.52    2.79    2.86    2.80    2.84    2.85    0.04    0.13    0.15    0.16    0.17    0.17    0.17    0.18    0.18    0.15    6.33    0.93    0.96    1.19    1.69    2.96    3.03    2.97    3.02    3.01
 2020 149    25    13     1    37.9    35.5     2.4     0.0   20.14   39.95    0.09    0.00    6.03   20.14   15.33    5.18    0.00    6.26     0.6     0.5    0.69    0.98    2.25    2.92    2.86    2.90    2.90    0.04    0.12    0.14    0.16    0.16    0.17    0.17    0.18    0.18    0.15    6.31    0.69    0.64    0.85    1.14    2.42    3.09    3.04    3.08    3.05
 2020 150    26    13     1    36.1    33.7     2.4     0.0   21.04   40.87    0.09    0.00    6.05   21.04   18.03    5.18    0.00    6.28     0.4     0.3    0.47    0.64    1.57    2.98    2.92    2.96    2.95    0.04    0.11    0.13    0.16    0.16    0.17    0.17    0.18    0.18    0.15    6.32    0.54    0.48    0.63    0.80    1.74    3.16    3.10    3.14    3.10
 2020 151    27    13     1    35.1    32.8     2.4     0.0   21.92   41.76    0.10    0.00    6.07   21.92   19.86    5.18    0.00    6.29     0.3     0.3    0.34    0.45    1.11    3.05    2.98    3.02    3.00    0.03    0.10    0.12    0.15    0.16    0.17    0.17    0.18    0.18    0.15    6.33    0.44    0.43    0.49    0.61    1.28    3.22    3.16    3.20    3.15
 2020 152    28    13     1    33.2    30.9     2.3     0.0   22.79   42.65    0.10    0.00    6.08   22.79   22.65    5.18    0.00    6.30     0.3     0.3    0.32    0.34    0.81    2.11    3.04    3.08    3.04    0.03    0.10    0.12    0.14    0.16    0.16    0.17    0.18    0.18    0.15    6.33    0.40    0.42    0.46    0.49    0.97    2.28    3.22    3.26    3.20
 2020 153    29    13     1    32.1    29.8     2.3     0.0   23.61   43.52    0.10    0.00    6.10   23.61   24.53    5.18    0.00    6.31     0.3     0.3    0.31    0.32    0.61    1.47    3.11    3.14    3.09    0.03    0.09    0.11    0.14    0.15    0.15    0.17    0.18    0.18    0.15    6.34    0.39    0.41    0.45    0.47    0.76    1.64    3.28    3.32    3.25
 2020 154    30    13     1    31.5    29.3     2.2     0.0   24.40   44.35    0.11    0.00    6.11   24.40   25.91    5.18    0.00    6.32     0.3     0.3    0.31    0.31    0.48    1.04    3.17    3.20    3.14    0.02    0.09    0.11    0.13    0.14    0.14    0.17    0.18    0.18    0.15    6.34    0.39    0.40    0.44    0.46    0.62    1.21    3.34    3.37    3.29
 2020 155    31    13     1    31.3    29.1     2.1     0.0   25.20   45.24    0.11    0.00    6.12   25.20   26.94    5.18    0.00    6.32     0.3     0.3    0.31    0.32    0.42    0.76    3.23    3.26    3.19    0.02    0.09    0.10    0.12    0.13    0.12    0.15    0.17    0.18    0.15    6.35    0.39    0.40    0.43    0.45    0.54    0.91    3.40    3.44    3.34
 2020 156    32    13     1    29.9    27.9     2.0     0.0   26.00   46.15    0.11    0.00    6.13   26.00   29.06    5.18    0.00    6.33     0.3     0.3    0.31    0.31    0.38    0.62    2.48    3.32    3.25    0.03    0.08    0.09    0.11    0.12    0.11    0.13    0.17    0.18    0.15    6.36    0.38    0.40    0.42    0.43    0.49    0.75    2.65    3.50    3.40
 2020 157    33    13     1    29.0    27.1     1.9     0.0   26.80   47.05    0.11    0.00    6.14   26.80   30.75    5.18    0.00    6.34     0.3     0.3    0.31    0.31    0.36    0.54    1.91    3.39    3.30    0.03    0.08    0.09    0.10    0.10    0.09    0.11    0.17    0.17    0.15    6.37    0.38    0.39    0.41    0.41    0.45    0.66    2.08    3.57    3.45
 2020 158    34    13     1    26.0    24.2     1.8     0.0   27.61   47.90    0.12    0.00    6.15   27.61   34.52    5.18    0.00    3.15     0.3     0.3    0.30    0.30    0.33    0.49    1.48    3.46    3.36    0.08    0.08    0.08    0.09    0.09    0.09    0.10    0.15    0.17    0.15    3.23    0.40    0.38    0.39    0.40    0.42    0.59    1.63    3.64    3.51
