*N2O emissions output file

*DSSAT Cropping System Model Ver. 4.8.5.000 -HEAD  AUG 29, 2026 12:13:41

*RUN   1        : GUO2025 XINYU66 REAL      MZCER048 SHIH2002    1
 MODEL          : MZCER048 - Maize
 EXPERIMENT     : SHIH2002 MZ GUO2025 SHIHEZI 2020 W2
 DATA PATH      :
 TREATMENT  1   : GUO2025 XINYU66 REAL      MZCER048
  
!              |------------------------------ Cumulative -----------------------------|------------------------------ Daily ----------------------------------|
!               N2Oemit  N2emit  NOemit   Denit  Nitrif   N2O-denit+nit      N2      NO N2Oemit  N2emit  NOemit   Denit  Nitrif   N2O-denit+nit      N2      NO   Denitrification (g[N]/ha) by soil depth (cm):                                   Nitrification (g[N]/ha) by soil depth (cm):                                     N2O flux (g[N]/ha) by soil depth (cm):                                          N2 flux (g[N]/ha) by soil depth (cm):                                           NO flux (g[N]/ha) by soil depth (cm):
!                 kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha     0-5    5-15   15-20   20-30   30-40   40-50   50-60   60-70   70-80  80-100     0-5    5-15   15-20   20-30   30-40   40-50   50-60   60-70   70-80  80-100     0-5    5-15   15-20   20-30   30-40   40-50   50-60   60-70   70-80  80-100     0-5    5-15   15-20   20-30   30-40   40-50   50-60   60-70   70-80  80-100     0-5    5-15   15-20   20-30   30-40   40-50   50-60   60-70   70-80  80-100
@YEAR DOY   DAS   N2OEC    N2EC    NOEC    NDNC    NITC   N2ODC   N2ONC   N2FLC   NOFLC  N2OGED   N2GED   NOGED    NDND   NITRD   N2ODD   N2OND   N2FLD   NOFLD   NDN1D   NDN2D   NDN3D   NDN4D   NDN5D   NDN6D   NDN7D   NDN8D   NDN9D   NDN10   NIT1D   NIT2D   NIT3D   NIT4D   NIT5D   NIT6D   NIT7D   NIT8D   NIT9D   NIT10   N2O1D   N2O2D   N2O3D   N2O4D   N2O5D   N2O6D   N2O7D   N2O8D   N2O9D   N2O10   N2F1D   N2F2D   N2F3D   N2F4D   N2F5D   N2F6D   N2F7D   N2F8D   N2F9D   N2F10   NOF1D   NOF2D   NOF3D   NOF4D   NOF5D   NOF6D   NOF7D   NOF8D   NOF9D   NOF10
 2020 125     1    0.00    0.00    0.00    0.00     4.9   0.000   0.005   0.000   0.006     0.0     0.0     0.1     0.0    4889    0.00    4.89    0.00    5.98     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0    290.    558.    269.    530.    506.    499.    478.    470.    451.    839.     0.3     0.6     0.3     0.5     0.5     0.5     0.5     0.5     0.5     0.8     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.5     0.9     0.4     0.5     0.5     0.6     0.6     0.6     0.5     0.9
 2020 126     2    0.00    0.00    0.00    0.00     8.5   0.000   0.008   0.000   0.019     0.1     0.0     0.2     0.0    3567    0.00    3.57    0.00   12.89     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0    193.    380.    186.    373.    363.    366.    355.    355.    345.    649.     0.2     0.4     0.2     0.4     0.4     0.4     0.4     0.4     0.3     0.6     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0     1.7     0.9     1.1     1.1     1.3     1.3     1.3     1.3     2.0
 2020 127     3    0.00    0.00    0.00    0.00    10.4   0.000   0.010   0.000   0.022     0.1     0.0     0.2     0.0    1990    0.00    1.99    0.00    3.04     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0    130.    175.     85.    139.    137.    142.    201.    235.    248.    498.     0.1     0.2     0.1     0.1     0.1     0.1     0.2     0.2     0.2     0.5     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.3     0.1     0.0     0.1     0.1     0.1     0.2     0.4     0.6     1.2
 2020 128     4    0.00    0.00    0.00    0.00    14.4   0.000   0.014   0.000   0.032     0.4     0.0     1.3     0.0    3993    0.00    3.99    0.00    9.98     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0   2570.    192.     67.    130.    121.    116.    129.    150.    165.    354.     2.6     0.2     0.1     0.1     0.1     0.1     0.1     0.2     0.2     0.4     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     8.6     0.2     0.0     0.1     0.1     0.1     0.1     0.1     0.2     0.6
 2020 129     5    0.00    0.00    0.00    0.00    16.9   0.000   0.017   0.000   0.037     0.6     0.0     1.8     0.0    2462    0.00    2.46    0.00    4.76     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0   1318.    149.     67.    122.    113.    103.    100.    108.    118.    265.     1.3     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.3     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     3.9     0.2     0.0     0.1     0.0     0.0     0.1     0.1     0.1     0.3
 2020 130     6    0.00    0.00    0.01    0.00    18.9   0.000   0.019   0.000   0.040     0.6     0.0     1.9     0.5    1983    0.02    1.98    0.46    3.11     0.0     0.5     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0    808.    120.     70.    131.    130.    131.    121.    122.    120.    230.     0.8     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.2     0.0     0.5     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     2.1     0.2     0.0     0.1     0.1     0.1     0.1     0.1     0.1     0.3
 2020 131     7    0.00    0.00    0.01    0.01    20.6   0.001   0.021   0.014   0.043     0.7     0.0     1.9    14.1    1714    0.76    1.71   13.34    2.78     0.0     0.0     1.1     1.5     2.1     2.5     2.4     2.0     1.5     0.9    573.    106.     61.    130.    131.    138.    125.    123.    117.    209.     0.6     0.1     0.1     0.2     0.2     0.3     0.3     0.2     0.2     0.3     0.0     0.0     1.0     1.5     2.0     2.4     2.3     1.9     1.4     0.8     1.2     0.2     0.1     0.1     0.1     0.2     0.2     0.2     0.2     0.2
 2020 132     8    0.00    0.00    0.01    0.02    22.1   0.001   0.022   0.021   0.045     0.7     0.0     1.8     7.2    1529    0.39    1.53    6.85    2.04     0.0     0.0     0.5     0.8     1.1     1.3     1.2     1.0     0.8     0.5    438.    100.     56.    125.    127.    135.    123.    120.    113.    193.     0.4     0.1     0.1     0.2     0.2     0.2     0.2     0.2     0.2     0.2     0.0     0.0     0.5     0.8     1.0     1.2     1.2     1.0     0.7     0.4     0.8     0.1     0.1     0.1     0.1     0.2     0.2     0.2     0.1     0.2
 2020 133     9    0.00    0.00    0.01    0.03    23.7   0.001   0.024   0.025   0.046     0.7     0.0     1.7     4.2    1537    0.24    1.54    3.99    1.87     0.0     0.0     0.2     0.5     0.6     0.7     0.7     0.6     0.4     0.5    380.    108.     59.    133.    135.    144.    131.    128.    120.    199.     0.4     0.1     0.1     0.2     0.2     0.2     0.2     0.2     0.1     0.2     0.0     0.0     0.2     0.5     0.6     0.7     0.7     0.6     0.4     0.5     0.7     0.1     0.1     0.1     0.1     0.2     0.1     0.1     0.1     0.2
 2020 134    10    0.00    0.00    0.01    0.03    25.2   0.002   0.025   0.029   0.048     0.7     0.0     1.6     4.7    1487    0.28    1.49    4.43    1.83     0.0     0.0     0.1     0.3     0.5     0.7     0.8     0.7     0.6     1.1    310.    115.     61.    136.    136.    144.    132.    129.    121.    201.     0.3     0.1     0.1     0.1     0.2     0.2     0.2     0.2     0.2     0.3     0.0     0.0     0.1     0.3     0.5     0.7     0.7     0.7     0.6     1.0     0.6     0.1     0.1     0.1     0.1     0.2     0.2     0.2     0.1     0.2
 2020 135    11    0.01    0.00    0.01    0.03    26.6   0.002   0.027   0.033   0.050     0.6     0.1     1.5     4.1    1409    0.26    1.41    3.89    1.71     0.0     0.0     0.0     0.3     0.6     0.4     0.6     0.7     0.7     0.9    242.    119.     61.    133.    133.    141.    131.    128.    121.    200.     0.2     0.1     0.1     0.1     0.2     0.2     0.2     0.2     0.2     0.3     0.0     0.0     0.0     0.3     0.5     0.4     0.6     0.7     0.7     0.8     0.5     0.2     0.1     0.1     0.1     0.1     0.1     0.2     0.1     0.2
 2020 136    12    0.01    0.00    0.02    0.04    27.8   0.002   0.028   0.037   0.052     0.6     0.1     1.4     3.9    1276    0.25    1.28    3.68    1.54     0.0     0.0     0.0     0.2     0.6     0.4     0.7     0.4     0.7     0.9    172.    116.     59.    125.    123.    130.    122.    123.    115.    191.     0.2     0.1     0.1     0.1     0.2     0.2     0.2     0.1     0.2     0.3     0.0     0.0     0.0     0.2     0.6     0.4     0.6     0.4     0.7     0.9     0.3     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.2
 2020 137    13    0.01    0.00    0.02    0.04    29.0   0.002   0.029   0.040   0.053     0.6     0.1     1.3     4.1    1209    0.27    1.21    3.81    1.46     0.0     0.0     0.0     0.1     0.6     0.5     0.7     0.4     0.8     1.0    125.    118.     59.    123.    120.    126.    119.    120.    114.    187.     0.1     0.1     0.1     0.1     0.2     0.2     0.2     0.1     0.2     0.3     0.0     0.0     0.0     0.1     0.6     0.4     0.7     0.4     0.7     0.9     0.3     0.2     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.2
 2020 138    14    0.01    0.00    0.02    0.05    30.1   0.003   0.030   0.044   0.054     0.6     0.1     1.2     4.1    1095    0.28    1.09    3.79    1.32     0.0     0.0     0.0     0.0     0.6     0.5     0.7     0.4     0.8     1.0     83.    112.     55.    114.    111.    115.    110.    112.    107.    175.     0.1     0.1     0.1     0.1     0.2     0.1     0.2     0.1     0.2     0.2     0.0     0.0     0.0     0.0     0.6     0.4     0.7     0.4     0.8     0.9     0.2     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.2
 2020 139    15    0.01    0.00    0.02    0.05    31.2   0.003   0.031   0.048   0.056     0.5     0.1     1.1     4.2    1044    0.30    1.04    3.89    1.27     0.0     0.0     0.0     0.0     0.6     0.5     0.8     0.4     0.8     1.0     59.    111.     54.    111.    108.    111.    106.    108.    104.    170.     0.1     0.1     0.1     0.1     0.2     0.1     0.2     0.1     0.2     0.2     0.0     0.0     0.0     0.0     0.6     0.5     0.7     0.4     0.8     0.9     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.2
 2020 140    16    0.01    0.00    0.02    0.06    32.2   0.003   0.032   0.052   0.057     0.5     0.1     1.0     4.2    1004    0.31    1.00    3.94    1.22     0.0     0.0     0.0     0.0     0.6     0.5     0.8     0.5     0.9     1.0     48.    109.     53.    108.    105.    107.    103.    105.    101.    165.     0.0     0.1     0.1     0.1     0.1     0.1     0.2     0.1     0.2     0.2     0.0     0.0     0.0     0.0     0.6     0.5     0.7     0.4     0.8     1.0     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.2
