scenario,arm,year,RMSE_kg_ha,RRMSE_pct,MAE_kg_ha,Bias_kg_ha,mean_HWAM,mean_SRADA
RAW_N_OFF,M0,2019,2070.0481274598424,18.60926510807814,1645.25,1645.25,12769.0,23.3
RAW_N_OFF,M0,2020,6700.169158312348,60.91062871193044,6617.75,6617.75,17617.75,24.2
RAW_N_OFF,M0,ALL8,4958.697712101434,44.826918692368466,4131.5,4131.5,15193.375,23.75
RAW_N_OFF,H0TT,2019,1945.3069809158656,17.48787037569044,1485.25,1485.25,12609.0,23.4
RAW_N_OFF,H0TT,2020,5995.559565211574,54.50508695646886,5925.5,5925.5,16925.5,24.2
RAW_N_OFF,H0TT,ALL8,4457.070436396535,40.29217864418587,3705.375,3705.375,14767.25,23.799999999999997
RAW_N_OFF,M15TT,2019,2070.0481274598424,18.60926510807814,1645.25,1645.25,12769.0,23.4
RAW_N_OFF,M15TT,2020,6279.891977574137,57.08992706885579,6191.75,6191.75,17191.75,24.2
RAW_N_OFF,M15TT,ALL8,4675.582450347764,42.26754009015438,3918.5,3918.5,14980.375,23.799999999999997
SRAD19P8_N_OFF,M0,2019,1305.7171401187932,11.738102169850933,1136.25,-339.75,10784.0,19.9
SRAD19P8_N_OFF,M0,2020,3691.5160503511293,33.5592368213739,3539.25,3539.25,14539.25,19.8
SRAD19P8_N_OFF,M0,ALL8,2768.7712075937225,25.02985441070092,2337.75,1599.75,12661.625,19.85
SRAD19P8_N_OFF,H0TT,2019,1280.2674525270102,11.50931522667275,1136.25,-222.75,10901.0,19.9
SRAD19P8_N_OFF,H0TT,2020,4011.1363726505238,36.464876115004756,3871.5,3871.5,14871.5,19.8
SRAD19P8_N_OFF,H0TT,ALL8,2977.2722205065497,26.914715819032036,2503.875,1824.375,12886.25,19.85
SRAD19P8_N_OFF,M15TT,2019,1263.5193904329287,11.358753931299505,1136.25,-83.75,11040.0,19.9
SRAD19P8_N_OFF,M15TT,2020,3707.4618676393693,33.70419879672154,3556.0,3556.0,14556.0,19.8
SRAD19P8_N_OFF,M15TT,ALL8,2769.6348811711628,25.03766207059077,2346.125,1736.125,12798.0,19.85
RAW_N129_STAGE,M0,2019,6523.0080867648785,58.640369360736074,6390.0,-6390.0,4733.75,23.3
RAW_N129_STAGE,M0,2020,6870.767315227608,62.46152104752371,6787.0,-6787.0,4213.0,24.2
RAW_N129_STAGE,M0,ALL8,6699.144646893363,60.56066125221414,6588.5,-6588.5,4473.375,23.75
RAW_N129_STAGE,H0TT,2019,6567.667375103584,59.041846275793546,6435.75,-6435.75,4688.0,23.4
RAW_N129_STAGE,H0TT,2020,7139.194877575482,64.90177161432257,7056.5,-7056.5,3943.5,24.2
RAW_N129_STAGE,H0TT,ALL8,6859.386206141188,62.00925436366971,6746.125,-6746.125,4315.75,23.799999999999997
RAW_N129_STAGE,M15TT,2019,6522.954506969982,58.63988769048191,6390.0,-6390.0,4733.75,23.4
RAW_N129_STAGE,M15TT,2020,7016.923435523577,63.790213050214334,6936.5,-6936.5,4063.5,24.2
RAW_N129_STAGE,M15TT,ALL8,6774.442781513473,61.241360813727084,6663.25,-6663.25,4398.625,23.799999999999997
SRAD19P8_N129_STAGE,M0,2019,5920.867778459506,53.22726399334312,5780.25,-5780.25,5343.5,19.9
SRAD19P8_N129_STAGE,M0,2020,5591.967028693928,50.83606389721753,5489.25,-5489.25,5510.75,19.8
SRAD19P8_N129_STAGE,M0,ALL8,5758.76594853446,52.05958256203817,5634.75,-5634.75,5427.125,19.85
SRAD19P8_N129_STAGE,H0TT,2019,6075.937191084187,54.62130298760928,5939.25,-5939.25,5184.5,19.9
SRAD19P8_N129_STAGE,H0TT,2020,5613.750528835424,51.03409571668567,5511.5,-5511.5,5488.5,19.8
SRAD19P8_N129_STAGE,H0TT,ALL8,5849.410557910942,52.879015157113436,5725.375,-5725.375,5336.5,19.85
SRAD19P8_N129_STAGE,M15TT,2019,6048.569975622338,54.37527790198752,5911.25,-5911.25,5212.5,19.9
SRAD19P8_N129_STAGE,M15TT,2020,5593.556069263988,50.85050972058171,5491.0,-5491.0,5509.0,19.8
SRAD19P8_N129_STAGE,M15TT,ALL8,5825.507198948431,52.66292738752184,5701.125,-5701.125,5360.75,19.85
SRAD19P8_N193_STAGE,M0,2019,4771.585821296731,42.895478784553156,4592.75,-4592.75,6531.0,19.9
SRAD19P8_N193_STAGE,M0,2020,4588.139383235867,41.71035802941697,4467.0,-4467.0,6533.0,19.8
SRAD19P8_N193_STAGE,M0,ALL8,4680.76138304443,42.3143579460483,4529.875,-4529.875,6532.0,19.85
SRAD19P8_N193_STAGE,H0TT,2019,4965.823949758992,44.64163568723669,4793.5,-4793.5,6330.25,19.9
SRAD19P8_N193_STAGE,H0TT,2020,4608.425056350597,41.89477323955088,4475.0,-4475.0,6525.0,19.8
SRAD19P8_N193_STAGE,H0TT,ALL8,4790.4586941127045,43.306028083961394,4634.25,-4634.25,6427.625,19.85
SRAD19P8_N193_STAGE,M15TT,2019,4928.477680785417,44.30590116449414,4754.75,-4754.75,6369.0,19.9
SRAD19P8_N193_STAGE,M15TT,2020,4563.925667668132,41.49023334243756,4428.5,-4428.5,6571.5,19.8
SRAD19P8_N193_STAGE,M15TT,ALL8,4749.700503715998,42.93757164780833,4591.625,-4591.625,6470.25,19.85
