scenario,arm,year,treatment,obs,HWAM,error,abs_error,ARE_pct,ADAT,MDAT,SRADA,PRCP,NICM,NUCM
RAW_N_OFF,M0,2019,W1,9250,12760.0,3510.0,3510.0,37.945945945945944,,,23.3,83.3,-99,0
RAW_N_OFF,M0,2019,W2,10725,12772.0,2047.0,2047.0,19.086247086247084,,,23.3,83.3,-99,0
RAW_N_OFF,M0,2019,W3,12490,12772.0,282.0,282.0,2.257806244995997,,,23.3,83.3,-99,0
RAW_N_OFF,M0,2019,W4,12030,12772.0,742.0,742.0,6.1679135494596835,,,23.3,83.3,-99,0
RAW_N_OFF,M0,2020,W1,9275,17616.0,8341.0,8341.0,89.92991913746631,,,24.2,103.1,-99,0
RAW_N_OFF,M0,2020,W2,11100,17617.0,6517.0,6517.0,58.711711711711715,,,24.2,103.1,-99,0
RAW_N_OFF,M0,2020,W3,12030,17619.0,5589.0,5589.0,46.45885286783042,,,24.2,103.1,-99,0
RAW_N_OFF,M0,2020,W4,11595,17619.0,6024.0,6024.0,51.95342820181112,,,24.2,103.1,-99,0
RAW_N_OFF,H0TT,2019,W1,9250,12600.0,3350.0,3350.0,36.21621621621622,,,23.4,81.7,-99,0
RAW_N_OFF,H0TT,2019,W2,10725,12612.0,1887.0,1887.0,17.594405594405593,,,23.4,81.7,-99,0
RAW_N_OFF,H0TT,2019,W3,12490,12612.0,122.0,122.0,0.976781425140112,,,23.4,81.7,-99,0
RAW_N_OFF,H0TT,2019,W4,12030,12612.0,582.0,582.0,4.837905236907731,,,23.4,81.7,-99,0
RAW_N_OFF,H0TT,2020,W1,9275,16677.0,7402.0,7402.0,79.80592991913747,,,24.2,103.1,-99,0
RAW_N_OFF,H0TT,2020,W2,11100,17009.0,5909.0,5909.0,53.234234234234236,,,24.2,103.1,-99,0
RAW_N_OFF,H0TT,2020,W3,12030,17008.0,4978.0,4978.0,41.37988362427265,,,24.2,103.1,-99,0
RAW_N_OFF,H0TT,2020,W4,11595,17008.0,5413.0,5413.0,46.6839154808107,,,24.2,103.1,-99,0
RAW_N_OFF,M15TT,2019,W1,9250,12760.0,3510.0,3510.0,37.945945945945944,,,23.4,81.7,-99,0
RAW_N_OFF,M15TT,2019,W2,10725,12772.0,2047.0,2047.0,19.086247086247084,,,23.4,81.7,-99,0
RAW_N_OFF,M15TT,2019,W3,12490,12772.0,282.0,282.0,2.257806244995997,,,23.4,81.7,-99,0
RAW_N_OFF,M15TT,2019,W4,12030,12772.0,742.0,742.0,6.1679135494596835,,,23.4,81.7,-99,0
RAW_N_OFF,M15TT,2020,W1,9275,17191.0,7916.0,7916.0,85.3477088948787,,,24.2,103.1,-99,0
RAW_N_OFF,M15TT,2020,W2,11100,17192.0,6092.0,6092.0,54.882882882882875,,,24.2,103.1,-99,0
RAW_N_OFF,M15TT,2020,W3,12030,17192.0,5162.0,5162.0,42.9093931837074,,,24.2,103.1,-99,0
RAW_N_OFF,M15TT,2020,W4,11595,17192.0,5597.0,5597.0,48.27080638206123,,,24.2,103.1,-99,0
SRAD19P8_N_OFF,M0,2019,W1,9250,10784.0,1534.0,1534.0,16.583783783783783,,,19.9,81.7,-99,0
SRAD19P8_N_OFF,M0,2019,W2,10725,10784.0,59.0,59.0,0.5501165501165501,,,19.9,81.7,-99,0
SRAD19P8_N_OFF,M0,2019,W3,12490,10784.0,-1706.0,1706.0,13.65892714171337,,,19.9,81.7,-99,0
SRAD19P8_N_OFF,M0,2019,W4,12030,10784.0,-1246.0,1246.0,10.357439733998337,,,19.9,81.7,-99,0
SRAD19P8_N_OFF,M0,2020,W1,9275,14540.0,5265.0,5265.0,56.7654986522911,,,19.8,105.3,-99,0
SRAD19P8_N_OFF,M0,2020,W2,11100,14539.0,3439.0,3439.0,30.98198198198198,,,19.8,105.3,-99,0
