source,year,status,usable,kind,detail,url
NOAA Global Hourly 51356099999,2019,404,False,station_hourly,rows=None; header=[]; content_type=text/html; charset=iso-8859-1,https://www.ncei.noaa.gov/data/global-hourly/access/2019/51356099999.csv
NOAA Global Hourly 51356099999,2020,404,False,station_hourly,rows=None; header=[]; content_type=text/html; charset=iso-8859-1,https://www.ncei.noaa.gov/data/global-hourly/access/2020/51356099999.csv
NOAA GSOD 51356099999,2019,404,False,station_daily,rows=None; header=[]; content_type=text/html; charset=iso-8859-1,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2019/51356099999.csv
NOAA GSOD 51356099999,2020,404,False,station_daily,rows=None; header=[]; content_type=text/html; charset=iso-8859-1,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2020/51356099999.csv
NOAA Global Hourly directory search WMO 51356,2019,200,False,station_hourly_index,hits=[] count=0,https://www.ncei.noaa.gov/data/global-hourly/access/2019/
NOAA Global Hourly directory search WMO 51356,2020,200,False,station_hourly_index,hits=[] count=0,https://www.ncei.noaa.gov/data/global-hourly/access/2020/
Meteostat bulk hourly 51356,2019,404,False,station_hourly,bytes=595; content_type=text/html; charset=iso-8859-1,https://bulk.meteostat.net/v2/hourly/2019/51356.csv.gz
Meteostat bulk hourly 51356,2019,404,False,station_hourly,bytes=595; content_type=text/html; charset=iso-8859-1,https://bulk.meteostat.net/v2/hourly/2019/51356.csv.gz?download=1
Meteostat bulk hourly 51356,2020,404,False,station_hourly,bytes=595; content_type=text/html; charset=iso-8859-1,https://bulk.meteostat.net/v2/hourly/2020/51356.csv.gz
Meteostat bulk hourly 51356,2020,404,False,station_hourly,bytes=595; content_type=text/html; charset=iso-8859-1,https://bulk.meteostat.net/v2/hourly/2020/51356.csv.gz?download=1
Meteostat bulk daily 51356,2019-2020,404,False,station_daily,bytes=595; content_type=text/html; charset=iso-8859-1,https://bulk.meteostat.net/v2/daily/51356.csv.gz
Meteostat station metadata,all,200,True,station_metadata,"bytes=806578; content_type=application/x-gzip; matches_51356=[]; nearby_count=2; nearby=[{'id': '51243', 'name': {'en': 'Karamay'}, 'country': 'CN', 'region': 'XJ', 'identifiers': {'national': None, 'wmo': '51243', 'icao': None}, 'location': {'latitude': 45.6, 'longitude': 84.85, 'elevation': 428}, 'timezone': 'Asia/Urumqi', 'inventory': {'model': {'start': '2021-01-01', 'end': '2026-03-19'}, 'hourly': {'start': None, 'end': None}, 'daily': {'start': '1956-01-01', 'end': '2027-12-30'}, 'monthly': {'start': 1956, 'end': 2022}, 'normals': {'start': 1961, 'end': 2020}}}, {'id': 'ZWWW0', 'name': {'en': 'Diwopu / Urumqi /  Dihua'}, 'country': 'CN', 'region': 'XJ', 'identifiers': {'national': None, 'wmo': None, 'icao': 'ZWWW'}, 'location': {'latitude': 43.9, 'longitude': 87.4667, 'elevation': 654}, 'timezone': 'Asia/Urumqi', 'inventory': {'model': {'start': '2021-01-02', 'end': '2026-03-19'}, 'hourly': {'start': '1985-02-09', 'end': '2026-03-10'}, 'daily': {'start': '1990-08-27', 'end': '2022-04-25'}, 'monthly': {'start': 2006, 'end': 2022}, 'normals': {'start': 1961, 'end': 1990}}}]",https://bulk.meteostat.net/v2/stations/lite.json.gz
Ogimet SYNOP 51356,2019-06,200,False,station_synop,bytes=25; no_data=False; station_mentions=0; year_mentions=0; data_tokens=0; content_type=text/html,https://www.ogimet.com/cgi-bin/gsynres?ind=51356&lang=en&decoded=yes&ndays=5&ano=2019&mes=06&day=30&hora=23
Ogimet SYNOP 51356,2019-07,200,False,station_synop,bytes=8894; no_data=True; station_mentions=2; year_mentions=0; data_tokens=5; content_type=text/html,https://www.ogimet.com/cgi-bin/gsynres?ind=51356&lang=en&decoded=yes&ndays=5&ano=2019&mes=07&day=31&hora=23
Ogimet SYNOP 51356,2019-08,200,False,station_synop,bytes=25; no_data=False; station_mentions=0; year_mentions=0; data_tokens=0; content_type=text/html,https://www.ogimet.com/cgi-bin/gsynres?ind=51356&lang=en&decoded=yes&ndays=5&ano=2019&mes=08&day=31&hora=23
Ogimet SYNOP 51356,2020-06,200,False,station_synop,bytes=7698; no_data=False; station_mentions=0; year_mentions=0; data_tokens=5; content_type=text/html,https://www.ogimet.com/cgi-bin/gsynres?ind=51356&lang=en&decoded=yes&ndays=5&ano=2020&mes=06&day=30&hora=23
Ogimet SYNOP 51356,2020-07,200,False,station_synop,bytes=7698; no_data=False; station_mentions=0; year_mentions=0; data_tokens=5; content_type=text/html,https://www.ogimet.com/cgi-bin/gsynres?ind=51356&lang=en&decoded=yes&ndays=5&ano=2020&mes=07&day=31&hora=23
Ogimet SYNOP 51356,2020-08,200,False,station_synop,bytes=8894; no_data=True; station_mentions=2; year_mentions=1; data_tokens=5; content_type=text/html,https://www.ogimet.com/cgi-bin/gsynres?ind=51356&lang=en&decoded=yes&ndays=5&ano=2020&mes=08&day=31&hora=23
NASA POWER hourly T2M,2019,200,True,reanalysis_fallback,bytes=70221; content_type=application/json; hourly_T2M_count=3696,https://power.larc.nasa.gov/api/temporal/hourly/point?parameters=T2M&community=AG&longitude=85.996389&latitude=44.324444&start=20190501&end=20191001&format=JSON
NASA POWER hourly T2M,2020,200,True,reanalysis_fallback,bytes=70200; content_type=application/json; hourly_T2M_count=3696,https://power.larc.nasa.gov/api/temporal/hourly/point?parameters=T2M&community=AG&longitude=85.996389&latitude=44.324444&start=20200501&end=20201001&format=JSON
