case,component,level,HWAM_bias,HWAM_MAE,HWAM_RMSE,HWAM_d,ADAT_MAE_days,MDAT_MAE_days,HWAM_T1,HWAM_T2,HWAM_T3,HWAM_T4,HWAM_T5,HWAM_T6,ADAT_T1,ADAT_T2,ADAT_T3,ADAT_T4,ADAT_T5,ADAT_T6,MDAT_T1,MDAT_T2,MDAT_T3,MDAT_T4,MDAT_T5,MDAT_T6
official,baseline,0.0,358.1666666666667,858.1666666666666,970.5233124454044,0.9798448683109532,1.0,0.0,2293.0,2293.0,8207.0,11854.0,7718.0,10293.0,1982133,1982133,1982133,1982133,1982133,1982133,1982185,1982185,1982185,1982185,1982185,1982185
TMAX+1.0C,high_TMAX,1.0,-114.5,920.8333333333334,1042.3152913905978,0.976426677105692,3.0,4.0,2161.0,2243.0,8580.0,12570.0,6207.0,8061.0,1982129,1982129,1982129,1982129,1982129,1982129,1982181,1982181,1982181,1982181,1982181,1982181
TMAX+2.0C,high_TMAX,2.0,-428.3333333333333,1039.3333333333333,1185.4377531809364,0.969124695214621,3.0,5.0,2028.0,1789.0,8475.0,12089.0,5928.0,7630.0,1982129,1982129,1982129,1982129,1982129,1982129,1982180,1982180,1982180,1982180,1982180,1982180
TMAX+3.0C,high_TMAX,3.0,-1239.5,1506.8333333333333,1703.7488566882932,0.9335063200138316,5.0,7.0,1916.0,1405.0,7652.0,11122.0,4694.0,6283.0,1982127,1982127,1982127,1982127,1982127,1982127,1982178,1982178,1982178,1982178,1982178,1982178
TMAX+4.0C,high_TMAX,4.0,-2157.5,2157.5,2462.486649710004,0.8668757693634194,6.0,9.0,1796.0,1298.0,5653.0,10507.0,3369.0,4941.0,1982126,1982126,1982126,1982126,1982126,1982126,1982176,1982176,1982176,1982176,1982176,1982176
TMIN-1.0C,low_TMIN,-1.0,927.6666666666666,1151.6666666666667,1184.037302340316,0.9601740508535351,6.0,5.0,4179.0,4634.0,7785.0,11209.0,7570.0,10698.0,1982138,1982138,1982138,1982138,1982138,1982138,1982190,1982190,1982190,1982190,1982190,1982190
TMIN-2.0C,low_TMIN,-2.0,1507.5,1623.5,1867.0970783545242,0.8909770985756689,8.0,8.0,5530.0,6095.0,7685.0,11533.0,7690.0,11021.0,1982140,1982140,1982140,1982140,1982140,1982140,1982193,1982193,1982193,1982193,1982193,1982193
TMIN-3.0C,low_TMIN,-3.0,1341.3333333333333,1834.3333333333333,2192.1556362022593,0.8025914448162245,10.0,11.0,6181.0,6823.0,7588.0,10402.0,7603.0,9960.0,1982142,1982142,1982142,1982142,1982142,1982142,1982196,1982196,1982196,1982196,1982196,1982196
TMIN-4.0C,low_TMIN,-4.0,2063.1666666666665,2211.8333333333335,2756.13766588923,0.7560166297312828,12.0,15.0,6696.0,8195.0,7829.0,11435.0,7752.0,10981.0,1982144,1982144,1982144,1982144,1982144,1982144,1982200,1982200,1982200,1982200,1982200,1982200
DTTx0.85,thermal_time,0.85,2024.1666666666667,2226.8333333333335,2685.735125932315,0.7619467003218141,12.0,18.0,6569.0,7981.0,8053.0,11273.0,7933.0,10845.0,1982144,1982144,1982144,1982144,1982144,1982144,1982203,1982203,1982203,1982203,1982203,1982203
DTTx0.90,thermal_time,0.9,1255.5,1801.5,2128.2504160303442,0.8108659702237091,10.0,12.0,5977.0,6697.0,7667.0,10243.0,7632.0,9826.0,1982142,1982142,1982142,1982142,1982142,1982142,1982197,1982197,1982197,1982197,1982197,1982197
DTTx0.95,thermal_time,0.95,911.3333333333334,1140.6666666666667,1169.007413720432,0.9610966225410746,6.0,6.0,4190.0,4571.0,7768.0,11193.0,7619.0,10636.0,1982138,1982138,1982138,1982138,1982138,1982138,1982191,1982191,1982191,1982191,1982191,1982191
DTTx1.00,thermal_time,1.0,358.1666666666667,858.1666666666666,970.5233124454044,0.9798448683109532,1.0,0.0,2293.0,2293.0,8207.0,11854.0,7718.0,10293.0,1982133,1982133,1982133,1982133,1982133,1982133,1982185,1982185,1982185,1982185,1982185,1982185
DTTx1.05,thermal_time,1.05,-163.16666666666666,893.8333333333334,1014.4974946576589,0.9774346108993798,3.0,5.0,2161.0,2200.0,8501.0,12422.0,6194.0,8052.0,1982129,1982129,1982129,1982129,1982129,1982129,1982180,1982180,1982180,1982180,1982180,1982180
DTTx1.10,thermal_time,1.1,-1136.1666666666667,1278.5,1519.0251808314435,0.9491137082506776,5.0,9.0,2201.0,1856.0,6318.0,12308.0,4279.0,6730.0,1982127,1982127,1982127,1982127,1982127,1982127,1982176,1982176,1982176,1982176,1982176,1982176
DTTx1.15,thermal_time,1.15,-1565.3333333333333,1565.3333333333333,2001.0127435876063,0.9118338928662126,7.0,12.0,2123.0,1750.0,6207.0,11668.0,3852.0,5517.0,1982125,1982125,1982125,1982125,1982125,1982125,1982173,1982173,1982173,1982173,1982173,1982173
